# {"t_start": 1582842730.8310356, "env_id": "FetchPickAndPlace-v1"} 
r,l,t
-50.0,50,2.926223
-50.0,50,4.081639
-38.0,50,5.103627
-38.0,50,6.135335
-38.0,50,7.173745
-38.0,50,8.187589
-38.0,50,9.19716
-38.0,50,10.224391
-38.0,50,11.247588
-38.0,50,12.284087
-38.0,50,13.333248
-38.0,50,14.350856
-38.0,50,15.379792
-38.0,50,16.401918
-38.0,50,17.435839
-1.0,50,18.478823
-44.0,50,19.508636
9.0,50,20.548477
-38.0,50,21.609465
-38.0,50,22.678155
-38.0,50,23.776443
-38.0,50,23.889106
-38.0,50,24.014959
-6.0,50,24.140478
11.0,50,24.269757
-50.0,50,24.394408
-16.0,50,24.517921
-38.0,50,24.644842
-5.0,50,24.760081
15.0,50,24.885705
-44.0,50,25.047528
-38.0,50,26.12849
-38.0,50,27.232848
-38.0,50,28.33266
-38.0,50,29.390077
-38.0,50,30.453859
-6.0,50,31.55505
-38.0,50,32.610092
-38.0,50,33.684433
-38.0,50,34.752055
-38.0,50,35.852187
-38.0,50,36.919204
17.0,50,38.003239
-38.0,50,39.096265
-38.0,50,40.207497
-38.0,50,41.316906
20.0,50,42.419688
-38.0,50,43.505083
-44.0,50,44.587877
-38.0,50,45.703311
-38.0,50,46.827542
17.0,50,46.951656
8.0,50,47.075834
-38.0,50,47.198446
-11.0,50,47.329193
-38.0,50,47.455544
-38.0,50,47.581428
-38.0,50,47.709363
-38.0,50,47.834759
-38.0,50,47.958576
-38.0,50,48.087822
-44.0,50,49.226948
-44.0,50,50.395482
-38.0,50,51.518043
-38.0,50,52.640207
-38.0,50,53.764889
-38.0,50,54.903385
-38.0,50,56.034245
-38.0,50,57.146676
-38.0,50,58.279851
-38.0,50,59.436992
-38.0,50,60.463773
-38.0,50,61.482888
-38.0,50,62.527844
-38.0,50,63.65487
-38.0,50,64.787832
-38.0,50,65.929167
-38.0,50,67.074117
-38.0,50,68.23756
4.0,50,69.435539
-38.0,50,70.580624
-38.0,50,70.702686
15.0,50,70.843148
21.0,50,70.969426
-13.0,50,71.10353
13.0,50,71.233389
-38.0,50,71.377131
-38.0,50,71.511546
-38.0,50,71.651089
-38.0,50,71.790896
-44.0,50,71.913781
-38.0,50,73.043393
-38.0,50,74.218222
-38.0,50,75.408271
-38.0,50,76.555489
-38.0,50,77.693759
-17.0,50,78.855561
-15.0,50,80.007153
-38.0,50,81.181861
-38.0,50,82.3756
-38.0,50,83.523697
-17.0,50,84.691794
-38.0,50,85.85959
-38.0,50,87.015523
-38.0,50,88.200011
-38.0,50,89.380686
-38.0,50,90.528081
-38.0,50,91.698294
-12.0,50,92.897667
-38.0,50,94.096382
7.0,50,95.30725
-38.0,50,95.455162
-38.0,50,95.581036
11.0,50,95.707549
-38.0,50,95.835972
-38.0,50,95.959626
-38.0,50,96.086754
-1.0,50,96.214396
-38.0,50,96.346399
3.0,50,96.468269
-38.0,50,96.596319
-38.0,50,97.749896
-38.0,50,98.931337
-38.0,50,100.113688
-38.0,50,101.294171
-38.0,50,102.396096
-38.0,50,103.531779
-38.0,50,104.720565
-38.0,50,105.913981
-38.0,50,107.103683
-38.0,50,108.356456
-38.0,50,109.5613
-8.0,50,110.737619
-38.0,50,111.924972
-38.0,50,113.112211
-38.0,50,114.332093
-38.0,50,115.524664
-38.0,50,116.730675
-38.0,50,117.899551
-38.0,50,119.089457
