epoch,p0/stats_g/mean,p0/stats_g/std,p0/stats_o/mean,p0/stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,0.8630844,0.10317174,0.20945057,0.07055263,10.0,-1.1584646,0.3,20.0,0.0
1,0.86122656,0.10352019,0.20808116,0.07420798,20.0,-2.0615497,0.2,40.0,0.15
2,0.85905975,0.11102878,0.2072731,0.08797002,30.0,-1.9970043,0.3,60.0,0.05
3,0.85615635,0.11286617,0.20588113,0.095500425,40.0,-2.4795914,0.3,80.0,0.0
4,0.8534212,0.114167966,0.20506738,0.1001785,50.0,-2.9639387,0.5,100.0,0.05
5,0.85399956,0.11361268,0.20590389,0.09937783,60.0,-3.9985752,0.2,120.0,0.05
6,0.8549313,0.11372825,0.20663166,0.10089857,70.0,-4.1700654,0.2,140.0,0.05
7,0.85252327,0.11524161,0.20674247,0.101159155,80.0,-2.3493786,0.4,160.0,0.0
8,0.85184526,0.11792617,0.20736812,0.10401619,90.0,-4.3049707,0.3,180.0,0.15
9,0.85185105,0.121309556,0.20717847,0.10897269,100.0,-5.5815997,0.3,200.0,0.0
10,0.85084635,0.12337106,0.20772728,0.110677525,110.0,-2.8912272,0.6,220.0,0.0
11,0.85048175,0.12340063,0.20745522,0.113510475,120.0,-5.004867,0.2,240.0,0.05
12,0.85037404,0.12257408,0.20718904,0.11474532,130.0,-3.2813683,0.3,260.0,0.0
13,0.84861,0.12453151,0.20728007,0.115217574,140.0,-4.9106092,0.3,280.0,0.1
14,0.84794444,0.12332302,0.20704922,0.116521195,150.0,-4.2874136,0.5,300.0,0.0
15,0.8473818,0.1231853,0.20708679,0.11801832,160.0,-5.4257402,0.3,320.0,0.05
16,0.8462942,0.12349097,0.20661552,0.1195601,170.0,-3.5111556,0.4,340.0,0.0
17,0.8449469,0.12515216,0.20525537,0.12231126,180.0,-2.7688375,0.9,360.0,0.05
18,0.8439202,0.12496537,0.2052201,0.12304473,190.0,-6.7792044,0.3,380.0,0.1
19,0.8437976,0.12609488,0.20579308,0.1261496,200.0,-2.5341852,0.6,400.0,0.05
20,0.84378225,0.12812622,0.20528264,0.12792446,210.0,-4.3681364,0.4,420.0,0.05
21,0.84338856,0.12740035,0.20501271,0.12942027,220.0,-5.9364405,0.5,440.0,0.05
22,0.8432474,0.12680905,0.20518902,0.1300347,230.0,-7.043332,0.2,460.0,0.05
23,0.8424964,0.12730755,0.205453,0.13044897,240.0,-11.67378,0.0,480.0,0.05
24,0.84285325,0.1266111,0.20526522,0.13092718,250.0,-4.4919705,0.5,500.0,0.15
25,0.8425319,0.12672348,0.2055509,0.13022271,260.0,-3.506971,0.3,520.0,0.1
26,0.84165937,0.12764673,0.20514601,0.13207585,270.0,-3.8881867,0.5,540.0,0.15
27,0.841852,0.12699254,0.2053698,0.13202758,280.0,-5.6980467,0.5,560.0,0.15
28,0.84210175,0.1277891,0.20563103,0.13270009,290.0,-4.258122,0.4,580.0,0.05
29,0.8417766,0.12866457,0.20526439,0.13280997,300.0,-6.4412613,0.5,600.0,0.05
30,0.8420593,0.12832728,0.20516926,0.1340057,310.0,-5.630212,0.4,620.0,0.15
31,0.84277934,0.12846524,0.20533308,0.13488996,320.0,-5.189495,0.6,640.0,0.05
32,0.842426,0.1286322,0.20552443,0.13567139,330.0,-5.951614,0.5,660.0,0.1
33,0.8426376,0.12874906,0.20552833,0.13594772,340.0,-5.514787,0.3,680.0,0.25
34,0.84255046,0.12834273,0.20557238,0.13608542,350.0,-6.0436563,0.1,700.0,0.1
35,0.84233075,0.1282257,0.20528235,0.13602899,360.0,-4.0791507,0.8,720.0,0.05
36,0.8424943,0.1276181,0.20562167,0.13618927,370.0,-3.3457093,0.7,740.0,0.05
37,0.84234923,0.12725902,0.20544493,0.13638811,380.0,-5.729497,0.3,760.0,0.05
38,0.8419319,0.12704833,0.20507596,0.13672988,390.0,-5.1914186,0.4,780.0,0.2
39,0.8422516,0.12639938,0.20496336,0.1368594,400.0,-4.680276,0.7,800.0,0.15
40,0.8421523,0.12604944,0.20487279,0.13646245,410.0,-4.7237782,0.5,820.0,0.15
41,0.84239006,0.1259751,0.20457661,0.13664728,420.0,-5.8386245,0.4,840.0,0.15
42,0.84239477,0.12537624,0.20471108,0.13677175,430.0,-8.05961,0.4,860.0,0.45
43,0.8425088,0.12542714,0.20503917,0.13691607,440.0,-5.402142,0.5,880.0,0.15
44,0.8425894,0.12550552,0.20533073,0.13727383,450.0,-6.0567417,0.6,900.0,0.1
45,0.8427203,0.12507807,0.20524345,0.13701613,460.0,-5.580959,0.6,920.0,0.05
46,0.8431504,0.1253044,0.20514719,0.13711151,470.0,-6.1801877,0.5,940.0,0.05
47,0.8429267,0.12502848,0.20505852,0.13683525,480.0,-4.8014884,0.6,960.0,0.15
48,0.84303135,0.12495086,0.205128,0.13712658,490.0,-4.182563,0.6,980.0,0.1
49,0.84293747,0.12436517,0.20511393,0.13668303,500.0,-3.1810832,0.6,1000.0,0.1
50,0.8429699,0.12394551,0.20518063,0.13620682,510.0,-3.7683635,0.6,1020.0,0.15
51,0.84336996,0.12416164,0.20526662,0.136066,520.0,-1.703347,1.0,1040.0,0.35
52,0.843493,0.1240328,0.20535886,0.13580102,530.0,-1.6772158,0.8,1060.0,0.3
53,0.84353757,0.12432011,0.20522045,0.13586032,540.0,-3.4847455,0.6,1080.0,0.2
54,0.84342605,0.124688745,0.20519266,0.13604169,550.0,-3.602221,0.8,1100.0,0.2
55,0.8436356,0.12480605,0.20530048,0.13632789,560.0,-3.960198,0.7,1120.0,0.1
56,0.84367925,0.124262474,0.20538631,0.13616852,570.0,-4.681817,0.5,1140.0,0.25
57,0.8439961,0.124264605,0.20532088,0.13595706,580.0,-5.220858,0.4,1160.0,0.25
58,0.84433895,0.123953365,0.205459,0.13614011,590.0,-3.6203582,0.7,1180.0,0.4
59,0.8446042,0.123954594,0.20548011,0.13633205,600.0,-4.345254,0.8,1200.0,0.1
60,0.84478664,0.124322005,0.2057404,0.13603921,610.0,-3.2195168,0.8,1220.0,0.15
61,0.8448105,0.12397107,0.20561884,0.13569458,620.0,-5.096801,0.4,1240.0,0.2
