# {"t_start": 1582863797.1640816, "env_id": "FetchPickAndPlace-v1"} 
r,l,t
-50.0,50,3.074234
-50.0,50,4.256861
-44.0,50,5.443319
-38.0,50,6.93092
-44.0,50,8.224929
-44.0,50,9.513112
-38.0,50,10.794349
-38.0,50,12.074533
16.0,50,13.369838
-38.0,50,14.670808
-38.0,50,15.975335
-38.0,50,17.233593
-44.0,50,18.519608
-38.0,50,19.82545
-50.0,50,21.126517
-38.0,50,22.462695
-44.0,50,23.758742
-38.0,50,25.078802
-38.0,50,26.386554
-38.0,50,27.693712
-38.0,50,29.045407
-38.0,50,29.226002
-38.0,50,29.39702
-5.0,50,29.577169
-38.0,50,29.750365
-38.0,50,29.927979
-38.0,50,30.092561
-38.0,50,30.269619
-38.0,50,30.459645
-38.0,50,30.658354
-38.0,50,30.88131
-38.0,50,32.225674
-38.0,50,33.562681
-44.0,50,34.877404
-38.0,50,36.211658
-38.0,50,37.527434
-44.0,50,38.842407
-38.0,50,40.198459
-38.0,50,41.541675
-38.0,50,42.875508
-38.0,50,44.215885
-38.0,50,45.565248
-11.0,50,46.975782
-17.0,50,48.340886
-38.0,50,49.712507
-38.0,50,51.174739
-44.0,50,52.693367
-38.0,50,54.071198
-38.0,50,55.47939
-38.0,50,56.868946
20.0,50,58.256486
-38.0,50,58.427055
-38.0,50,58.625857
15.0,50,58.821383
10.0,50,59.002867
-38.0,50,59.192735
-38.0,50,59.359513
17.0,50,59.54255
-38.0,50,59.742814
-38.0,50,59.919186
-38.0,50,60.111769
-16.0,50,61.539192
-38.0,50,62.997816
-44.0,50,64.407128
-38.0,50,65.787417
-8.0,50,67.16535
-38.0,50,68.660854
-38.0,50,70.179338
-44.0,50,71.68511
-44.0,50,73.269127
-38.0,50,74.849544
-38.0,50,76.296684
-38.0,50,77.696514
-38.0,50,79.122011
1.0,50,80.62148
-38.0,50,82.056108
-38.0,50,83.499225
-38.0,50,84.950211
-38.0,50,86.377338
-38.0,50,87.808758
-38.0,50,89.274557
-38.0,50,89.444389
-38.0,50,89.625827
-38.0,50,89.793214
-38.0,50,89.962749
-38.0,50,90.144586
-38.0,50,90.311295
-38.0,50,90.489701
15.0,50,90.665392
-38.0,50,90.831814
-38.0,50,91.004834
-4.0,50,92.430572
-38.0,50,93.883187
-38.0,50,95.312806
-38.0,50,96.769392
-38.0,50,98.20897
-38.0,50,99.650106
-38.0,50,101.089167
-44.0,50,102.495931
-38.0,50,103.937139
-38.0,50,105.395117
-38.0,50,106.862758
15.0,50,108.321799
-13.0,50,109.777415
-38.0,50,111.221052
-38.0,50,112.673494
-38.0,50,114.112273
-38.0,50,115.577925
-38.0,50,117.043551
-38.0,50,118.528559
-38.0,50,120.009668
0.0,50,120.201312
-38.0,50,120.364827
-38.0,50,120.537742
-13.0,50,120.705794
6.0,50,120.889081
-38.0,50,121.062742
14.0,50,121.254709
-38.0,50,121.430237
-38.0,50,121.607567
-38.0,50,121.777621
-38.0,50,123.228524
-38.0,50,124.721573
-38.0,50,126.205133
-38.0,50,127.683068
-38.0,50,129.167245
-38.0,50,130.657203
-38.0,50,132.125412
-38.0,50,133.610727
-38.0,50,135.092709
-38.0,50,136.603494
6.0,50,138.089626
-14.0,50,139.593642
-14.0,50,141.106881
-38.0,50,142.61876
10.0,50,144.116771
-38.0,50,145.615505
-38.0,50,147.151056
-38.0,50,148.65009
-38.0,50,150.154854
-38.0,50,151.674732
-38.0,50,151.857709
14.0,50,152.035043
-38.0,50,152.210685
-38.0,50,152.394421
-12.0,50,152.563432
17.0,50,152.741124
-38.0,50,152.916105
10.0,50,153.099536
-38.0,50,153.258339
10.0,50,153.425322
-38.0,50,154.934784
-4.0,50,156.493527
-38.0,50,157.997178
-38.0,50,159.524165
-38.0,50,161.060863
-38.0,50,162.567191
18.0,50,164.111134
-38.0,50,165.629014
-15.0,50,167.160403
-38.0,50,168.701911
-38.0,50,170.23618
-38.0,50,171.769226
-38.0,50,173.329015
-38.0,50,174.857387
-38.0,50,176.400217
-16.0,50,177.932394
-38.0,50,179.472975
-38.0,50,181.046047
-38.0,50,182.631688
20.0,50,184.218921
-17.0,50,184.387636
-38.0,50,184.550112
-38.0,50,184.717011
17.0,50,184.907427
-38.0,50,185.072515
10.0,50,185.24936
-38.0,50,185.444719
-38.0,50,185.612705
13.0,50,185.807729
-6.0,50,185.981836
-38.0,50,187.523745
-38.0,50,189.08123
-38.0,50,190.653095
-14.0,50,192.210497
-38.0,50,193.779641
-38.0,50,195.335004
-38.0,50,196.91119
-38.0,50,198.507304
-38.0,50,200.147225
-38.0,50,201.76274
-38.0,50,203.350004
-38.0,50,204.911422
-38.0,50,206.529233
-38.0,50,208.087709
-38.0,50,209.756808
-38.0,50,211.315826
-14.0,50,212.926349
-38.0,50,214.512088
-38.0,50,216.109052
-38.0,50,217.724784
-38.0,50,217.889982
-38.0,50,218.063247
-38.0,50,218.241347
-38.0,50,218.429867
-38.0,50,218.629678
-38.0,50,218.815125
-38.0,50,219.021267
-38.0,50,219.208568
-38.0,50,219.393293
-38.0,50,219.580488
-38.0,50,221.183445
-38.0,50,222.781839
-38.0,50,224.415684
-38.0,50,226.031826
-38.0,50,227.679072
-38.0,50,229.314736
-38.0,50,230.929392
-38.0,50,232.504464
-38.0,50,234.176128
-38.0,50,235.769793
-38.0,50,237.366251
-44.0,50,238.97612
-38.0,50,240.585799
-38.0,50,242.206699
-38.0,50,243.85989
-38.0,50,245.472537
-38.0,50,247.091337
-38.0,50,248.719513
-38.0,50,250.384174
-38.0,50,252.004124
-38.0,50,252.192491
18.0,50,252.378338
-38.0,50,252.586285
19.0,50,252.772063
-38.0,50,252.994372
-38.0,50,253.186473
-38.0,50,253.376568
-38.0,50,253.554106
-38.0,50,253.737688
-38.0,50,253.919382
-38.0,50,255.593814
-38.0,50,257.214569
-11.0,50,258.879131
-38.0,50,260.52768
-38.0,50,262.179373
-38.0,50,263.839098
-38.0,50,265.497425
-38.0,50,267.20095
-38.0,50,268.955412
-38.0,50,270.668398
-38.0,50,272.326603
-50.0,50,274.005437
-38.0,50,275.67298
-38.0,50,277.330593
-38.0,50,279.020514
-38.0,50,280.68876
-38.0,50,282.347389
