epoch,p0/stats_g/mean,p0/stats_g/std,p0/stats_o/mean,p0/stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,0.8666496,0.10165761,0.20852791,0.053700868,10.0,-1.8051004,0.1,20.0,0.05
1,0.86320955,0.10536159,0.20793581,0.068856,20.0,-1.514058,0.4,40.0,0.05
2,0.85721636,0.10488066,0.20678954,0.07564078,30.0,-2.68273,0.1,60.0,0.05
3,0.8556039,0.108858466,0.20736995,0.081361234,40.0,-2.7157238,0.3,80.0,0.05
4,0.85339457,0.110289395,0.20857434,0.08527998,50.0,-3.2569485,0.3,100.0,0.1
5,0.8532667,0.11096951,0.20912829,0.08990182,60.0,-2.6001296,0.4,120.0,0.15
6,0.8512185,0.113789655,0.20819262,0.09276036,70.0,-4.6829906,0.0,140.0,0.05
7,0.8478806,0.12011081,0.20636068,0.1005886,80.0,-3.4753413,0.2,160.0,0.0
8,0.84736246,0.12348497,0.20616025,0.10223062,90.0,-4.118149,0.0,180.0,0.0
9,0.84643406,0.12500465,0.20589139,0.10346705,100.0,-5.5264063,0.1,200.0,0.0
10,0.84633225,0.12982178,0.20651363,0.1087097,110.0,-4.7459345,0.2,220.0,0.05
11,0.845293,0.13135941,0.20673981,0.11402254,120.0,-5.597844,0.1,240.0,0.1
12,0.84492534,0.13217698,0.20670119,0.11559077,130.0,-4.864123,0.2,260.0,0.0
13,0.84503937,0.13121651,0.20652562,0.11590548,140.0,-5.2468204,0.2,280.0,0.15
14,0.8445484,0.13128884,0.20549397,0.11710919,150.0,-7.019942,0.1,300.0,0.05
15,0.84398794,0.13158835,0.20583282,0.12075309,160.0,-4.191846,0.3,320.0,0.0
16,0.8443833,0.13276549,0.20634495,0.12391489,170.0,-6.103106,0.0,340.0,0.0
17,0.8444076,0.13333406,0.20533943,0.1251868,180.0,-4.0296445,0.2,360.0,0.1
18,0.845506,0.13511588,0.20567948,0.12733524,190.0,-6.4339423,0.0,380.0,0.05
19,0.8455604,0.1344531,0.20582438,0.1296233,200.0,-6.701658,0.0,400.0,0.25
20,0.84584457,0.13495599,0.20587991,0.13036437,210.0,-5.4698167,0.2,420.0,0.15
21,0.84748936,0.13391627,0.20606768,0.13034295,220.0,-4.5418596,0.3,440.0,0.05
22,0.8480111,0.13402988,0.20603365,0.13137326,230.0,-5.239659,0.3,460.0,0.0
23,0.8478668,0.13406019,0.20574078,0.13200101,240.0,-4.6480155,0.3,480.0,0.2
24,0.84828454,0.13330223,0.20532887,0.13334928,250.0,-5.657031,0.1,500.0,0.15
25,0.8484397,0.13236667,0.20516238,0.13265155,260.0,-5.632141,0.2,520.0,0.15
26,0.8492196,0.13141073,0.20497335,0.13217048,270.0,-6.9940233,0.4,540.0,0.0
27,0.8488578,0.13338059,0.20534077,0.13293183,280.0,-4.74322,0.5,560.0,0.05
28,0.84839886,0.1338792,0.20465696,0.13364466,290.0,-7.952568,0.2,580.0,0.2
29,0.84804326,0.13298808,0.20459795,0.13413364,300.0,-4.3273735,0.4,600.0,0.05
30,0.8478849,0.13287766,0.20445448,0.13498439,310.0,-8.057993,0.0,620.0,0.0
31,0.8476773,0.13291688,0.20441657,0.13542004,320.0,-4.3653994,0.6,640.0,0.0
32,0.84760183,0.13185836,0.20366088,0.1358626,330.0,-5.4160547,0.5,660.0,0.2
33,0.8477013,0.13134691,0.20369741,0.13638456,340.0,-4.8802867,0.2,680.0,0.15
34,0.8476189,0.1306666,0.20374723,0.13646357,350.0,-4.4124002,0.5,700.0,0.05
35,0.8474497,0.12999484,0.20340939,0.13578779,360.0,-5.9827166,0.4,720.0,0.2
36,0.8473702,0.12994635,0.20376737,0.13612922,370.0,-6.4424143,0.3,740.0,0.1
37,0.8477979,0.12943076,0.20361851,0.13583913,380.0,-5.578034,0.4,760.0,0.05
38,0.8477016,0.12898536,0.20368761,0.13577995,390.0,-7.1760573,0.3,780.0,0.15
39,0.84740776,0.128397,0.2040146,0.13588467,400.0,-6.605478,0.4,800.0,0.2
40,0.84727675,0.12785916,0.20371735,0.13603538,410.0,-7.336947,0.3,820.0,0.3
41,0.8471311,0.12717725,0.20396198,0.13568318,420.0,-7.4562097,0.4,840.0,0.1
42,0.84716994,0.12739916,0.20441878,0.1362315,430.0,-5.6648345,0.3,860.0,0.05
43,0.8469396,0.12855624,0.20435202,0.1362876,440.0,-3.9849331,0.5,880.0,0.2
44,0.8469248,0.12877785,0.20404005,0.13712876,450.0,-2.7494495,0.6,900.0,0.15
45,0.84723276,0.12817307,0.20444633,0.1371264,460.0,-5.1323795,0.1,920.0,0.15
46,0.8471404,0.12866622,0.20466116,0.13739575,470.0,-7.0636306,0.2,940.0,0.05
47,0.8471926,0.12815252,0.20476693,0.13732769,480.0,-5.392768,0.3,960.0,0.2
48,0.8469443,0.12745838,0.20483318,0.13703503,490.0,-8.196813,0.3,980.0,0.3
49,0.8467402,0.12748773,0.20489353,0.13712953,500.0,-4.689162,0.6,1000.0,0.2
50,0.8469936,0.12685455,0.20495228,0.13732237,510.0,-5.544402,0.5,1020.0,0.3
51,0.84727883,0.12645958,0.20517531,0.13755211,520.0,-6.2880197,0.4,1040.0,0.2
52,0.8472859,0.12594633,0.20517951,0.13711247,530.0,-5.655566,0.6,1060.0,0.15
53,0.8471516,0.12573498,0.20502767,0.13705589,540.0,-3.8146996,0.6,1080.0,0.2
54,0.8469563,0.12534015,0.2049792,0.13696128,550.0,-6.264401,0.5,1100.0,0.2
55,0.84689474,0.124830365,0.20523557,0.1367392,560.0,-8.188181,0.3,1120.0,0.15
56,0.846823,0.12427378,0.20504886,0.13668723,570.0,-4.455462,0.7,1140.0,0.2
57,0.8466739,0.124421544,0.20515181,0.13705951,580.0,-9.43036,0.3,1160.0,0.15
58,0.8461607,0.12475746,0.20529129,0.13697274,590.0,-5.558468,0.5,1180.0,0.25
59,0.84631133,0.12428591,0.20538056,0.13700876,600.0,-3.4479358,0.7,1200.0,0.15
