# {"t_start": 1583266076.5073328, "env_id": "FetchPickAndPlace-v1"} 
r,l,t
-50.0,50,4.255214
-50.0,50,5.235143
-50.0,50,6.116261
-50.0,50,6.987516
-50.0,50,7.858653
-50.0,50,8.724743
-50.0,50,9.597146
-50.0,50,10.501672
-50.0,50,11.381486
-50.0,50,12.269333
-50.0,50,13.159328
-50.0,50,14.049096
-50.0,50,14.953846
-50.0,50,15.874038
-50.0,50,16.772163
-50.0,50,17.677038
-50.0,50,18.605095
-50.0,50,19.541971
-44.0,50,20.47976
-50.0,50,21.421111
-44.0,50,22.376324
-50.0,50,23.35436
-50.0,50,24.299132
-50.0,50,25.249095
-50.0,50,26.203307
-38.0,50,27.167875
-50.0,50,28.137324
-50.0,50,29.117065
-50.0,50,30.091585
-38.0,50,31.081516
-50.0,50,32.063631
-50.0,50,33.057946
-38.0,50,34.0577
-38.0,50,35.058013
-38.0,50,36.063533
-38.0,50,37.074543
-38.0,50,38.094405
-50.0,50,39.119653
-38.0,50,40.147701
-50.0,50,41.180022
-38.0,50,42.239456
-38.0,50,43.284702
-50.0,50,44.33072
-38.0,50,45.375758
-38.0,50,46.43945
-44.0,50,47.50608
-38.0,50,48.566075
-38.0,50,49.661192
-17.0,50,50.747965
-38.0,50,51.829873
-38.0,50,53.054278
-38.0,50,53.287483
-17.0,50,53.51134
-44.0,50,53.745192
-38.0,50,53.981166
-38.0,50,54.221456
-38.0,50,54.43532
-38.0,50,54.634969
-38.0,50,54.811357
-38.0,50,54.999113
-38.0,50,55.21718
-38.0,50,56.324254
-50.0,50,57.430905
-38.0,50,58.545817
0.0,50,59.664651
-38.0,50,60.782254
-38.0,50,61.920408
-38.0,50,63.047557
-38.0,50,64.167539
-38.0,50,65.285678
0.0,50,66.418911
-38.0,50,67.585144
-38.0,50,68.727735
-38.0,50,69.894666
-38.0,50,71.033067
-38.0,50,72.191021
-38.0,50,73.342255
-38.0,50,74.491364
-38.0,50,75.648549
-38.0,50,76.811841
-38.0,50,77.999085
-38.0,50,79.173865
-38.0,50,80.346387
-38.0,50,81.513273
-38.0,50,82.687894
-38.0,50,83.872775
-38.0,50,85.043316
-38.0,50,86.244546
-38.0,50,87.429011
18.0,50,88.657696
-38.0,50,89.861916
-38.0,50,91.089131
-38.0,50,92.314583
-38.0,50,93.529465
-38.0,50,94.767388
-38.0,50,95.983024
-38.0,50,97.200278
-38.0,50,98.450838
-38.0,50,99.6844
-38.0,50,100.912166
-38.0,50,102.153377
-38.0,50,103.384267
-38.0,50,104.634121
27.0,50,105.865001
-38.0,50,107.112331
-38.0,50,108.362406
-38.0,50,109.667103
-38.0,50,110.941669
-38.0,50,112.204428
-38.0,50,113.473572
-38.0,50,114.756581
-38.0,50,114.935002
-38.0,50,115.105302
-38.0,50,115.303749
-38.0,50,115.47034
-38.0,50,115.65817
-38.0,50,115.852593
-38.0,50,116.022366
-38.0,50,116.24915
-38.0,50,116.432048
-38.0,50,116.614809
-38.0,50,117.872118
-44.0,50,119.163488
-38.0,50,120.453202
-38.0,50,121.738088
-38.0,50,123.065532
-17.0,50,124.572542
-38.0,50,126.254257
-38.0,50,128.11815
-38.0,50,129.68819
-38.0,50,131.070679
-38.0,50,132.406858
-38.0,50,133.746279
4.0,50,135.158328
-38.0,50,136.556807
-38.0,50,137.971177
-38.0,50,139.414982
-38.0,50,140.824025
-38.0,50,142.222909
-38.0,50,143.588962
-38.0,50,144.966898
-38.0,50,146.340443
-38.0,50,147.879022
-38.0,50,149.30871
-38.0,50,150.846658
-38.0,50,152.88035
-38.0,50,154.944271
-10.0,50,156.699184
-38.0,50,158.504919
-38.0,50,160.319122
-38.0,50,162.140112
-50.0,50,163.950855
-38.0,50,165.746468
-38.0,50,167.553606
14.0,50,169.377316
-38.0,50,171.18926
-38.0,50,172.991239
4.0,50,174.81212
-38.0,50,176.643896
19.0,50,178.471491
-38.0,50,180.305663
-38.0,50,182.104534
-38.0,50,183.972075
-38.0,50,185.805913
-38.0,50,187.625214
-38.0,50,189.447727
-38.0,50,191.280174
-16.0,50,193.129504
-38.0,50,195.015194
-38.0,50,196.8681
28.0,50,198.780182
-38.0,50,199.004966
-38.0,50,199.266369
-38.0,50,199.505762
-38.0,50,199.75279
-38.0,50,199.998557
-38.0,50,200.25699
-38.0,50,200.533731
-38.0,50,200.766738
-38.0,50,201.026026
-38.0,50,201.286785
-38.0,50,203.136103
-38.0,50,205.015021
-38.0,50,206.916676
-38.0,50,208.818715
-38.0,50,210.75274
-38.0,50,212.665539
-38.0,50,214.615828
25.0,50,216.561402
-38.0,50,218.514773
-38.0,50,220.450527
-38.0,50,222.369063
-38.0,50,224.310547
-38.0,50,226.260982
-38.0,50,228.217415
9.0,50,230.152854
-38.0,50,232.066221
-44.0,50,233.957637
-16.0,50,235.906104
-38.0,50,237.829392
-38.0,50,239.760788
-6.0,50,241.712453
-7.0,50,243.676784
-38.0,50,245.652946
-38.0,50,247.615006
-38.0,50,249.581879
-38.0,50,251.594354
-15.0,50,253.585508
-16.0,50,255.529653
1.0,50,257.49611
-38.0,50,259.482798
-38.0,50,261.469941
-38.0,50,263.469244
-38.0,50,265.448711
-38.0,50,267.438176
-38.0,50,269.434265
-38.0,50,271.411548
-38.0,50,273.417119
-38.0,50,275.441503
-38.0,50,277.472363
-38.0,50,279.499457
-38.0,50,281.540609
-38.0,50,283.568764
-38.0,50,285.609911
-38.0,50,287.631815
-38.0,50,289.674164
-38.0,50,291.807312
-15.0,50,293.875243
-38.0,50,295.980668
-38.0,50,298.045772
-38.0,50,300.237462
-38.0,50,300.494365
-38.0,50,300.756646
-38.0,50,300.995564
-38.0,50,301.248789
-38.0,50,301.496798
-38.0,50,301.754907
-38.0,50,302.001521
-38.0,50,302.243515
-38.0,50,302.495806
-38.0,50,302.728101
-38.0,50,304.784551
-44.0,50,306.862484
-38.0,50,308.947508
-38.0,50,311.054559
-38.0,50,313.158328
-38.0,50,315.240413
-44.0,50,317.338996
-38.0,50,319.437302
-38.0,50,321.536622
-44.0,50,323.64382
-7.0,50,325.752529
-38.0,50,327.891004
-38.0,50,329.976537
-38.0,50,332.073263
-38.0,50,334.213738
-38.0,50,336.365657
-38.0,50,338.556118
-38.0,50,340.698177
-38.0,50,342.819133
-38.0,50,344.974427
-44.0,50,347.140035
-38.0,50,349.283183
-38.0,50,351.413604
-38.0,50,353.652282
-38.0,50,355.814908
-17.0,50,357.988806
-38.0,50,360.144576
-38.0,50,362.318257
-15.0,50,364.516735
-38.0,50,366.69276
-38.0,50,368.934352
-38.0,50,371.229507
-38.0,50,373.439533
-44.0,50,375.643364
-38.0,50,377.85597
-38.0,50,380.11646
-38.0,50,382.338399
-38.0,50,384.529609
-38.0,50,386.768654
-38.0,50,389.016515
-38.0,50,391.271399
-44.0,50,393.559526
-38.0,50,395.844503
-8.0,50,398.128751
-38.0,50,400.382082
28.0,50,402.676178
-38.0,50,404.943048
-38.0,50,407.226775
-44.0,50,409.509162
-38.0,50,411.791752
-38.0,50,412.042149
-38.0,50,412.283652
-38.0,50,412.577922
-38.0,50,412.82786
-38.0,50,413.093716
-38.0,50,413.359206
-38.0,50,413.618126
-38.0,50,413.854809
-38.0,50,414.094311
-38.0,50,414.360937
-38.0,50,416.645082
-38.0,50,418.928021
13.0,50,421.25827
-50.0,50,423.557185
-38.0,50,425.864474
-9.0,50,428.176265
-38.0,50,430.490048
-38.0,50,432.831855
-38.0,50,435.122076
-38.0,50,437.442139
-10.0,50,439.739629
-38.0,50,442.017473
-38.0,50,444.318874
-38.0,50,446.65068
-44.0,50,448.969912
-38.0,50,451.326684
-38.0,50,453.661426
-38.0,50,456.024534
7.0,50,458.371283
-44.0,50,460.745255
-38.0,50,463.117517
-38.0,50,465.539865
-38.0,50,467.903545
-10.0,50,470.302687
-38.0,50,472.686852
-8.0,50,475.074954
-38.0,50,477.461486
-10.0,50,479.877231
-38.0,50,482.301653
-38.0,50,484.68184
-44.0,50,487.04469
24.0,50,489.448979
-38.0,50,491.879862
-38.0,50,494.277157
-38.0,50,496.710457
-38.0,50,499.112902
-38.0,50,501.498592
-38.0,50,504.050521
-38.0,50,506.484751
-38.0,50,508.738473
-38.0,50,511.237165
