epoch,p0/stats_g/mean,p0/stats_g/std,p0/stats_o/mean,p0/stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,0.8882602,0.12235445,0.20561352,0.09026536,20.0,-1.4590135,0.05,100.0,0.0
1,0.870321,0.1330092,0.20933983,0.108733825,40.0,-1.1741275,0.1,200.0,0.06
2,0.86031467,0.1308023,0.20784056,0.11508628,60.0,-3.0684383,0.05,300.0,0.02
3,0.8538179,0.13372172,0.20682395,0.12199999,80.0,-3.0058286,0.05,400.0,0.01
4,0.85032505,0.12967683,0.20604397,0.12743482,100.0,-3.281686,0.0,500.0,0.07
5,0.8487695,0.1252092,0.20593609,0.1281003,120.0,-4.4674473,0.1,600.0,0.06
6,0.8475702,0.12252907,0.20528461,0.12717041,140.0,-4.220398,0.15,700.0,0.09
7,0.84708756,0.12063896,0.20536435,0.12734751,160.0,-5.444746,0.05,800.0,0.06
8,0.84653884,0.12140632,0.2046436,0.12718438,180.0,-6.0572414,0.2,900.0,0.01
9,0.8460276,0.11979934,0.20489752,0.1288559,200.0,-6.915605,0.1,1000.0,0.06
10,0.8463513,0.12021432,0.20456131,0.12993822,220.0,-5.577348,0.2,1100.0,0.07
11,0.84612817,0.120001376,0.20457894,0.13005325,240.0,-4.939877,0.3,1200.0,0.11
12,0.84529346,0.12040684,0.20432457,0.1315188,260.0,-4.0627985,0.35,1300.0,0.11
13,0.84493715,0.119301915,0.20433417,0.1314349,280.0,-6.782561,0.25,1400.0,0.08
14,0.84499955,0.119407885,0.20466803,0.13147505,300.0,-4.910735,0.25,1500.0,0.17
15,0.8453193,0.11867702,0.2043816,0.13179554,320.0,-6.9229326,0.35,1600.0,0.1
16,0.8444762,0.11850667,0.20427752,0.13181151,340.0,-7.895027,0.1,1700.0,0.18
17,0.84438676,0.118806876,0.20468387,0.13142395,360.0,-3.9340062,0.55,1800.0,0.09
18,0.8443789,0.11806196,0.20490208,0.13122512,380.0,-6.670745,0.4,1900.0,0.13
19,0.84434134,0.1172364,0.20488773,0.13039267,400.0,-5.097945,0.5,2000.0,0.17
20,0.84429365,0.11710898,0.2048935,0.13013814,420.0,-6.9202757,0.45,2100.0,0.16
21,0.84430456,0.11630157,0.20477875,0.12937959,440.0,-7.7666855,0.5,2200.0,0.25
22,0.8443367,0.11586969,0.20461929,0.12883069,460.0,-5.395549,0.65,2300.0,0.18
23,0.84414434,0.11533588,0.20463476,0.12815146,480.0,-4.902485,0.7,2400.0,0.21
24,0.8439868,0.11465093,0.2046813,0.12768699,500.0,-6.9300666,0.45,2500.0,0.25
25,0.84393936,0.11434772,0.20455894,0.12718327,520.0,-5.887489,0.45,2600.0,0.28
26,0.84361964,0.114156306,0.20455734,0.12698841,540.0,-9.023055,0.3,2700.0,0.19
27,0.8439807,0.114426196,0.20486395,0.12675756,560.0,-3.8368282,0.75,2800.0,0.25
28,0.84422725,0.11399773,0.2050591,0.12624827,580.0,-4.8672686,0.65,2900.0,0.25
29,0.84432673,0.11387008,0.20509885,0.1259559,600.0,-5.971639,0.65,3000.0,0.29
30,0.8444162,0.113921545,0.20499651,0.12566441,620.0,-5.7368746,0.6,3100.0,0.21
31,0.84436494,0.11326909,0.20478897,0.12496318,640.0,-12.092303,0.3,3200.0,0.3
32,0.84459144,0.11288983,0.20465672,0.124253444,660.0,-9.885348,0.45,3300.0,0.22
33,0.8445297,0.11250764,0.20472819,0.12370647,680.0,-6.7998223,0.65,3400.0,0.24
34,0.8446476,0.11219957,0.2047585,0.12304603,700.0,-9.447687,0.45,3500.0,0.27
35,0.8447454,0.111750074,0.20466228,0.122639894,720.0,-5.79027,0.55,3600.0,0.29
36,0.84482116,0.11150962,0.20485121,0.122357465,740.0,-8.210028,0.3,3700.0,0.33
37,0.8448456,0.11142539,0.20495707,0.12199999,760.0,-6.2934747,0.7,3800.0,0.38
38,0.8448257,0.11149567,0.20496224,0.12156402,780.0,-7.2759027,0.4,3900.0,0.38
39,0.8448209,0.11134604,0.20502834,0.121300384,800.0,-5.6622148,0.55,4000.0,0.24
40,0.844934,0.11122001,0.20506729,0.12083234,820.0,-6.7190447,0.6,4100.0,0.24
41,0.84502083,0.11118094,0.20503539,0.1206471,840.0,-7.7576103,0.7,4200.0,0.26
42,0.84483975,0.11095694,0.20482627,0.12047828,860.0,-7.633336,0.65,4300.0,0.27
43,0.8450002,0.11066165,0.20480074,0.1201331,880.0,-3.3698833,0.85,4400.0,0.33
44,0.84506965,0.11038113,0.20475054,0.11988011,900.0,-5.0938616,0.8,4500.0,0.22
45,0.84494716,0.11005881,0.20478053,0.119514965,920.0,-5.228772,0.65,4600.0,0.32
46,0.8450098,0.110103704,0.20472246,0.11929099,940.0,-4.0101595,0.8,4700.0,0.31
47,0.8450958,0.10975561,0.204729,0.11883306,960.0,-5.360167,0.65,4800.0,0.43
48,0.845202,0.10961759,0.20476225,0.11870898,980.0,-9.200392,0.65,4900.0,0.28
49,0.8453415,0.109321296,0.20479432,0.1181802,1000.0,-5.466877,0.7,5000.0,0.42
50,0.8454985,0.10935399,0.20496084,0.118112534,1020.0,-6.290551,0.7,5100.0,0.28
51,0.845522,0.109158404,0.20492943,0.11779673,1040.0,-5.8790526,0.6,5200.0,0.3
52,0.8455209,0.109215885,0.20484473,0.11769895,1060.0,-3.7828453,0.7,5300.0,0.33
53,0.8454755,0.10890335,0.20488417,0.117343225,1080.0,-6.163352,0.65,5400.0,0.33
54,0.8455071,0.10869739,0.20481108,0.117121845,1100.0,-4.6025643,0.65,5500.0,0.34
55,0.84548336,0.10855376,0.20475388,0.11689494,1120.0,-4.580384,0.75,5600.0,0.47
56,0.84545994,0.10874034,0.20475075,0.11696468,1140.0,-3.8895633,0.7,5700.0,0.31
57,0.8454649,0.108660035,0.20483214,0.11686585,1160.0,-6.768008,0.6,5800.0,0.32
58,0.84550005,0.108470015,0.20482896,0.116574906,1180.0,-4.3054914,0.8,5900.0,0.39
59,0.8454661,0.10831881,0.20475955,0.11641552,1200.0,-3.6313882,0.65,6000.0,0.33
60,0.84557366,0.10830173,0.20474051,0.11632613,1220.0,-4.6205873,0.7,6100.0,0.33
61,0.84552616,0.10807251,0.20474581,0.11604616,1240.0,-1.3294252,0.9,6200.0,0.46
62,0.8456176,0.10798019,0.2047532,0.11584179,1260.0,-2.9579885,0.8,6300.0,0.48
63,0.8457081,0.10786235,0.20480949,0.11576888,1280.0,-1.8465751,0.85,6400.0,0.31
64,0.8457141,0.10794065,0.20479745,0.115780264,1300.0,-1.5026026,0.85,6500.0,0.26
65,0.8457226,0.10789553,0.20480777,0.11553223,1320.0,-3.6577175,0.75,6600.0,0.35
66,0.8457692,0.107856415,0.20481806,0.115537606,1340.0,-2.255105,0.85,6700.0,0.38
67,0.8457429,0.10776203,0.2048205,0.11536665,1360.0,-3.4170086,0.75,6800.0,0.38
68,0.8457691,0.10780302,0.20482937,0.11521776,1380.0,-5.5981283,0.45,6900.0,0.35
69,0.8458004,0.10759878,0.2048171,0.11506178,1400.0,-2.7593265,0.8,7000.0,0.38
70,0.8457914,0.107426554,0.20483467,0.11465921,1420.0,-4.496546,0.65,7100.0,0.45
71,0.84577805,0.10724465,0.20478989,0.11438471,1440.0,-1.6638129,0.9,7200.0,0.4
72,0.8457334,0.107167594,0.20482853,0.11419651,1460.0,-3.7873592,0.65,7300.0,0.47
73,0.8456988,0.107054025,0.20479466,0.11390193,1480.0,-3.4679437,0.7,7400.0,0.37
74,0.84567934,0.10714651,0.20477827,0.11372201,1500.0,-2.0370107,0.85,7500.0,0.35
75,0.8457156,0.10711595,0.20479935,0.11360936,1520.0,-2.7590647,0.75,7600.0,0.42
76,0.8457394,0.10715396,0.20484568,0.11345005,1540.0,-1.7112802,0.9,7700.0,0.47
77,0.8457133,0.10736409,0.20492797,0.113419056,1560.0,-1.8506273,0.7,7800.0,0.37
78,0.84582,0.10745124,0.20492862,0.11329021,1580.0,-1.2859516,0.95,7900.0,0.47
79,0.8457363,0.10750296,0.20494297,0.11318656,1600.0,-2.2836351,0.8,8000.0,0.48
80,0.8457075,0.10763981,0.20492677,0.113043316,1620.0,-0.9645888,0.85,8100.0,0.45
81,0.84580374,0.10770779,0.20499565,0.11290114,1640.0,-2.1237576,0.85,8200.0,0.41
82,0.84580773,0.10779605,0.20502062,0.112863466,1660.0,-1.1886766,0.95,8300.0,0.51
83,0.8458318,0.10793879,0.2049998,0.11282113,1680.0,-1.5056369,0.85,8400.0,0.44
84,0.8458988,0.10794426,0.20503452,0.11278635,1700.0,-1.2698174,0.9,8500.0,0.54
85,0.8458385,0.10811848,0.20500012,0.11278009,1720.0,-1.8647846,0.75,8600.0,0.4
86,0.84578496,0.10830394,0.20503257,0.11277321,1740.0,-1.8068743,0.9,8700.0,0.41
87,0.8459468,0.10829421,0.20510618,0.112617105,1760.0,-2.213715,0.75,8800.0,0.43
88,0.84595275,0.10841236,0.20514822,0.11245424,1780.0,-1.6729357,0.85,8900.0,0.41
89,0.8459322,0.10852317,0.2051773,0.112396985,1800.0,-1.6587082,0.8,9000.0,0.41
90,0.8459788,0.10851691,0.20518284,0.11224574,1820.0,-0.93376267,0.85,9100.0,0.54
