epoch,p0/stats_g/mean,p0/stats_g/std,p0/stats_o/mean,p0/stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,0.86586624,0.11596745,0.21063857,0.07556764,20.0,-1.3420027,0.25,40.0,0.0
1,0.864677,0.113420434,0.21044329,0.08738103,40.0,-1.6051254,0.45,80.0,0.025
2,0.8586326,0.10989329,0.20958313,0.09420831,60.0,-1.801336,0.5,120.0,0.1
3,0.856239,0.11354312,0.20953505,0.100046635,80.0,-2.7637591,0.25,160.0,0.05
4,0.8530248,0.11608667,0.20884499,0.1027643,100.0,-2.4902785,0.45,200.0,0.025
5,0.853146,0.11548611,0.20789275,0.104376405,120.0,-2.8375802,0.4,240.0,0.075
6,0.85132456,0.120759875,0.20556034,0.111756526,140.0,-3.3619473,0.55,280.0,0.025
7,0.8524041,0.12283947,0.20531493,0.114913225,160.0,-5.064988,0.2,320.0,0.05
8,0.8515,0.12932737,0.20455533,0.11731519,180.0,-5.7697897,0.15,360.0,0.0
9,0.8497878,0.13165177,0.20460354,0.11765283,200.0,-5.355318,0.05,400.0,0.0
10,0.8484604,0.1314786,0.20365806,0.120220155,220.0,-3.4195085,0.25,440.0,0.075
11,0.84805495,0.13217288,0.2036511,0.121601485,240.0,-7.1896143,0.05,480.0,0.025
12,0.84681845,0.132862,0.20432287,0.12277992,260.0,-5.976065,0.25,520.0,0.1
13,0.8446216,0.13335185,0.20382532,0.12422532,280.0,-4.8326454,0.35,560.0,0.0
14,0.8441763,0.13377348,0.20342603,0.12663661,300.0,-7.8420763,0.15,600.0,0.025
15,0.8447971,0.1335064,0.20260084,0.12670712,320.0,-3.254641,0.55,640.0,0.1
16,0.84467,0.1332088,0.20314777,0.12839931,340.0,-6.182683,0.2,680.0,0.05
17,0.84401554,0.13215022,0.2031686,0.1278292,360.0,-5.805298,0.4,720.0,0.175
18,0.8426444,0.13327342,0.2027603,0.12860866,380.0,-6.854875,0.2,760.0,0.125
19,0.842009,0.13324173,0.20335995,0.12983364,400.0,-3.374057,0.7,800.0,0.05
20,0.8415299,0.13258748,0.20383874,0.130014,420.0,-5.5711713,0.3,840.0,0.15
21,0.8412428,0.13153464,0.20371021,0.13103214,440.0,-5.53509,0.5,880.0,0.175
22,0.84090346,0.13189687,0.20367298,0.13174467,460.0,-6.484941,0.4,920.0,0.125
23,0.840861,0.13144402,0.20361662,0.13166155,480.0,-5.2213917,0.4,960.0,0.125
24,0.8407536,0.13173579,0.20401575,0.13197935,500.0,-4.8614473,0.35,1000.0,0.1
25,0.84024405,0.13125773,0.20401329,0.1323468,520.0,-4.710559,0.6,1040.0,0.2
26,0.8402479,0.1306026,0.20412129,0.13236028,540.0,-5.4842806,0.65,1080.0,0.075
27,0.8403483,0.13027798,0.2042169,0.13319834,560.0,-3.254825,0.6,1120.0,0.2
28,0.8407199,0.13073741,0.20447698,0.13273276,580.0,-2.0503273,0.8,1160.0,0.275
29,0.8407555,0.13064867,0.20469289,0.13318306,600.0,-3.639566,0.65,1200.0,0.15
30,0.841055,0.13050897,0.20525591,0.13393307,620.0,-3.5160203,0.6,1240.0,0.175
31,0.8406418,0.1302024,0.20536701,0.13403778,640.0,-3.5446975,0.65,1280.0,0.125
32,0.8410208,0.12962615,0.20555045,0.1340022,660.0,-3.8171508,0.75,1320.0,0.25
33,0.8411238,0.1297655,0.20571141,0.13468789,680.0,-3.4475799,0.7,1360.0,0.2
34,0.8414436,0.12893894,0.20557198,0.13439715,700.0,-3.887629,0.8,1400.0,0.325
35,0.8416228,0.12889688,0.20557699,0.1351355,720.0,-5.7967463,0.5,1440.0,0.225
36,0.8417515,0.12937048,0.20568284,0.13530014,740.0,-3.8550885,0.65,1480.0,0.15
37,0.84207636,0.12992337,0.2059029,0.1364716,760.0,-3.7700658,0.65,1520.0,0.325
38,0.8418235,0.13037325,0.20624244,0.13702916,780.0,-2.4767776,0.8,1560.0,0.35
39,0.8417137,0.13012065,0.20604272,0.13714097,800.0,-3.9647293,0.85,1600.0,0.3
40,0.84175473,0.13023882,0.20607859,0.13748904,820.0,-4.004012,0.5,1640.0,0.175
41,0.8420666,0.13040754,0.20619875,0.13786113,840.0,-2.461608,0.8,1680.0,0.25
42,0.841742,0.13069056,0.20608297,0.13816684,860.0,-4.410581,0.6,1720.0,0.3
43,0.8416377,0.13091771,0.2059869,0.13836074,880.0,-2.4136667,0.75,1760.0,0.325
44,0.84181446,0.1310157,0.2059151,0.13879305,900.0,-3.696453,0.75,1800.0,0.25
45,0.8420462,0.13078241,0.20574044,0.13860796,920.0,-2.7904682,0.75,1840.0,0.4
46,0.84217143,0.1303829,0.20568433,0.13844365,940.0,-3.4509807,0.75,1880.0,0.325
47,0.8421504,0.13010998,0.20561291,0.13832965,960.0,-2.704324,0.65,1920.0,0.425
48,0.8422585,0.13026927,0.20578688,0.13857575,980.0,-3.1082325,0.75,1960.0,0.375
49,0.84264755,0.12998518,0.2056049,0.1387471,1000.0,-3.5726178,0.7,2000.0,0.325
