# {"t_start": 1583763390.591166, "env_id": "FetchPickAndPlace-v1"} 
r,l,t
-50.0,50,4.129874
-38.0,50,5.344623
-50.0,50,6.455985
-38.0,50,7.620302
-38.0,50,8.697199
-38.0,50,9.841868
-38.0,50,11.033795
-38.0,50,13.997432
-38.0,50,15.693512
-44.0,50,16.793117
-44.0,50,17.884676
-38.0,50,18.963459
7.0,50,20.091746
-38.0,50,21.175363
-38.0,50,22.273889
-38.0,50,23.385605
-38.0,50,24.647176
-7.0,50,25.989447
-38.0,50,27.205237
-38.0,50,28.415102
-38.0,50,29.600954
-38.0,50,29.782476
-38.0,50,29.96367
14.0,50,30.167413
-38.0,50,30.388306
-38.0,50,30.568552
-38.0,50,30.777194
-38.0,50,30.969414
-38.0,50,31.174541
-38.0,50,31.390727
-38.0,50,31.661112
-38.0,50,32.894744
-38.0,50,34.050475
-44.0,50,35.384421
-38.0,50,36.555881
-38.0,50,37.717272
-38.0,50,38.895313
-44.0,50,40.194868
-38.0,50,41.528852
-38.0,50,42.816952
-38.0,50,46.78207
-38.0,50,50.445783
-38.0,50,54.055647
-38.0,50,55.44374
-38.0,50,58.811273
-38.0,50,60.504189
-38.0,50,61.873421
-38.0,50,63.240713
-38.0,50,64.438061
-38.0,50,65.604018
-38.0,50,66.799946
-38.0,50,66.962991
-38.0,50,67.126001
-15.0,50,67.297748
-38.0,50,67.468955
-38.0,50,67.636239
-38.0,50,67.821809
14.0,50,67.989377
-38.0,50,68.1655
-38.0,50,68.335511
-38.0,50,68.503328
-38.0,50,69.673166
-38.0,50,70.86955
-38.0,50,72.181672
-38.0,50,73.38267
-38.0,50,74.639149
-38.0,50,75.893464
-16.0,50,77.140612
-38.0,50,78.574581
-38.0,50,79.832655
-38.0,50,81.148355
15.0,50,82.433861
-38.0,50,83.87398
-38.0,50,85.109739
-38.0,50,86.410956
-38.0,50,89.366795
-38.0,50,94.552111
-38.0,50,96.047535
-38.0,50,97.418404
-38.0,50,98.80507
-38.0,50,100.201105
-38.0,50,100.408009
18.0,50,100.610252
-38.0,50,100.810168
-5.0,50,101.02899
