# {"t_start": 1576639127.8288577, "env_id": "FetchPickAndPlace-v1"} 
r,l,t
-50.0,50,10.765918
-50.0,50,13.016258
-48.0,50,15.160506
-49.0,50,21.317117
-48.0,50,27.191899
-49.0,50,33.103284
-48.0,50,38.934349
-12.0,50,44.825422
-48.0,50,50.643396
-49.0,50,56.556907
-50.0,50,62.43259
-50.0,50,68.298234
-49.0,50,74.202853
-48.0,50,80.105167
-48.0,50,86.079087
-48.0,50,92.012938
-49.0,50,97.923287
-50.0,50,103.843416
-48.0,50,109.822993
-48.0,50,115.820546
-48.0,50,122.032552
-49.0,50,122.227924
-48.0,50,122.427265
-50.0,50,122.618827
-48.0,50,122.798858
-49.0,50,122.996982
-48.0,50,123.201754
-48.0,50,123.384921
-49.0,50,123.574169
-50.0,50,123.755234
-50.0,50,124.311011
-50.0,50,130.423463
-48.0,50,136.501831
-48.0,50,142.588248
-48.0,50,148.7171
-48.0,50,154.798677
-48.0,50,160.909055
-48.0,50,166.997687
-48.0,50,173.09324
-49.0,50,179.239951
-48.0,50,185.267826
-48.0,50,191.414773
-48.0,50,197.70505
-48.0,50,204.093738
-19.0,50,212.409659
-48.0,50,218.36135
-48.0,50,224.433919
-48.0,50,230.309804
-48.0,50,236.211898
-48.0,50,242.294966
-48.0,50,248.352971
-48.0,50,248.54514
-48.0,50,248.726791
-48.0,50,248.903824
-48.0,50,249.083995
-48.0,50,249.251869
-48.0,50,249.427275
-48.0,50,249.591624
-48.0,50,249.767768
-48.0,50,249.955621
-48.0,50,250.131447
-48.0,50,256.402297
-41.0,50,262.636695
-48.0,50,268.907106
-48.0,50,275.127594
-48.0,50,281.402716
-48.0,50,287.681094
-48.0,50,293.980108
-48.0,50,300.280586
-36.0,50,306.599253
-48.0,50,312.959588
-48.0,50,319.511194
-48.0,50,325.546852
-48.0,50,331.753094
-48.0,50,337.943717
-48.0,50,344.196913
-48.0,50,350.434598
-48.0,50,356.616518
-48.0,50,362.750564
-48.0,50,369.04189
-48.0,50,375.251286
-39.0,50,375.439326
-48.0,50,375.617356
-48.0,50,375.782097
-48.0,50,375.964703
-48.0,50,376.159032
-40.0,50,376.350212
-48.0,50,376.532804
-48.0,50,376.719818
-48.0,50,376.898023
-48.0,50,377.077521
-48.0,50,383.208098
-48.0,50,389.259224
-49.0,50,395.212482
-48.0,50,401.391266
-48.0,50,407.98511
-48.0,50,414.627644
-48.0,50,421.051034
-48.0,50,427.620816
-48.0,50,436.318511
-48.0,50,442.838176
-49.0,50,449.302906
-48.0,50,455.782714
-48.0,50,461.82027
-48.0,50,467.448216
-48.0,50,473.596072
-48.0,50,479.04365
-48.0,50,484.664679
-48.0,50,490.867373
-48.0,50,496.707199
-48.0,50,502.073927
-48.0,50,502.211301
-48.0,50,502.370889
-48.0,50,502.50739
-48.0,50,502.65558
