epoch,p0/stats_g/mean,p0/stats_g/std,p0/stats_o/mean,p0/stats_o/std,p1/stats_g/mean,p1/stats_g/std,p1/stats_o/mean,p1/stats_o/std,p2/stats_g/mean,p2/stats_g/std,p2/stats_o/mean,p2/stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,0.85840416,0.057472985,0.2039348,0.028295493,0.8478191,0.06939807,0.20545292,0.03535651,0.85984796,0.10819495,0.20898367,0.06659977,10.0,-1.3888607,0.0,20.0,0.0
1,0.8573827,0.05720069,0.20362522,0.030874591,0.8480399,0.06845323,0.20555517,0.044865612,0.85739994,0.10786545,0.20842858,0.07337874,20.0,-2.405211,0.0,40.0,0.0
2,0.8571706,0.057744328,0.20344621,0.03335191,0.8476278,0.069045916,0.20531124,0.046825167,0.85720754,0.1068814,0.20871916,0.07433953,30.0,-2.4319654,0.0,60.0,0.05
3,0.85728675,0.057550177,0.20362407,0.03301917,0.8480589,0.068667464,0.20565613,0.04992019,0.8550734,0.10587474,0.20956242,0.077392995,40.0,-3.1311934,0.2,80.0,0.0
4,0.8567838,0.057802215,0.20370115,0.032905668,0.8478794,0.06893716,0.20539397,0.05169908,0.8535425,0.107141465,0.20949015,0.08324711,50.0,-3.4255302,0.2,100.0,0.05
5,0.85620004,0.05803922,0.20369767,0.038052745,0.847672,0.0692964,0.20543593,0.055365477,0.85315394,0.10935225,0.20924444,0.087109394,60.0,-5.063422,0.1,120.0,0.1
6,0.85643315,0.058035925,0.20382673,0.037657186,0.8480134,0.06964753,0.20505753,0.055640645,0.8515428,0.10972584,0.20860142,0.08942414,70.0,-3.6405609,0.2,140.0,0.1
7,0.85649586,0.057879973,0.20386757,0.03722309,0.8479515,0.069776155,0.20519795,0.055641424,0.850485,0.108692504,0.2087191,0.08948238,80.0,-2.5404797,0.3,160.0,0.2
8,0.8562482,0.057471514,0.20378564,0.03692012,0.84762496,0.069649205,0.20502391,0.056376744,0.850055,0.107247345,0.20789638,0.08892807,90.0,-4.8567085,0.3,180.0,0.1
9,0.85663444,0.057285845,0.2039482,0.036561705,0.84817547,0.06961906,0.20502923,0.055684328,0.8506412,0.10814384,0.20731074,0.093033716,100.0,-6.4518294,0.0,200.0,0.1
10,0.85654527,0.0571104,0.20392574,0.036240913,0.84819,0.06958557,0.20486675,0.055248033,0.8503302,0.107379586,0.20688933,0.09241465,110.0,-5.4401474,0.4,220.0,0.25
11,0.85611564,0.05698133,0.20374507,0.035944518,0.8475358,0.069748126,0.20486571,0.055457324,0.8502173,0.106486015,0.20661658,0.09186732,120.0,-3.4514709,0.4,240.0,0.1
12,0.856653,0.056956317,0.20396553,0.03569068,0.848114,0.06984271,0.20514646,0.055209972,0.8499834,0.10581108,0.20706072,0.09129879,130.0,-3.6128929,0.7,260.0,0.0
13,0.8569191,0.056789402,0.20409265,0.03539074,0.8485705,0.06949832,0.20519374,0.05449837,0.85046476,0.10560074,0.20691675,0.09128602,140.0,-4.781346,0.4,280.0,0.1
14,0.85715896,0.05685011,0.20421305,0.03522168,0.8489638,0.069465406,0.20527893,0.05384599,0.8500767,0.10529513,0.20693037,0.0906946,150.0,-4.1596594,0.7,300.0,0.25
15,0.85739565,0.05657957,0.20434374,0.035017468,0.8493102,0.069067605,0.20532683,0.0534162,0.8492379,0.10949338,0.20647348,0.09319482,160.0,-3.3522995,0.7,320.0,0.0
16,0.85671854,0.056409597,0.2041519,0.03488359,0.84856814,0.068844534,0.20502256,0.05309245,0.8482761,0.1096265,0.20570865,0.09307882,170.0,-4.247214,0.5,340.0,0.2
17,0.856571,0.056413993,0.20414688,0.034795806,0.8484783,0.068723395,0.2049602,0.05258717,0.84808856,0.108519375,0.20552531,0.09221499,180.0,-4.483085,0.7,360.0,0.2
18,0.85725975,0.056340676,0.20445672,0.03467786,0.84935445,0.06871871,0.20531918,0.052326843,0.848871,0.108771674,0.20563371,0.09290534,190.0,-3.4364543,0.8,380.0,0.05
19,0.85735345,0.05630214,0.20451428,0.03452901,0.84947056,0.06870376,0.20533058,0.0518777,0.84922457,0.107819766,0.20563206,0.09248041,200.0,-7.250216,0.4,400.0,0.15
20,0.8570013,0.0562267,0.20436357,0.0343584,0.8489933,0.06854703,0.20514324,0.05137879,0.84882075,0.10714823,0.20544739,0.0924717,210.0,-4.0504904,0.8,420.0,0.15
21,0.8568887,0.05620883,0.2043617,0.03449666,0.84893054,0.06842533,0.20517913,0.0515976,0.8488229,0.10666143,0.20525086,0.09207333,220.0,-3.388105,0.9,440.0,0.35
22,0.8568661,0.056210805,0.20436005,0.03434227,0.8489855,0.06828821,0.2051556,0.05112696,0.8479858,0.107625455,0.20513459,0.092022315,230.0,-4.853177,0.5,460.0,0.3
23,0.85659593,0.056242775,0.20427799,0.034245435,0.8486833,0.06823979,0.20505334,0.050732065,0.846977,0.108445264,0.20530905,0.09304524,240.0,-4.581766,0.7,480.0,0.1
24,0.8566045,0.056213837,0.20429611,0.034132924,0.8486128,0.06834876,0.20493816,0.05067485,0.84669423,0.10860497,0.20527995,0.09316841,250.0,-5.0574465,0.5,500.0,0.1
25,0.85671186,0.056129202,0.20433372,0.034018107,0.8487062,0.06833238,0.20483948,0.051256347,0.8460989,0.1099576,0.20532492,0.09444581,260.0,-3.6851273,0.8,520.0,0.05
26,0.85641694,0.056072783,0.20427652,0.033892304,0.84849006,0.068209045,0.20476475,0.050978065,0.84564686,0.10922769,0.20532118,0.09367452,270.0,-5.1829624,0.7,540.0,0.15
27,0.8566528,0.056046363,0.20436117,0.03376836,0.8488198,0.06819942,0.2048437,0.05067172,0.84511113,0.111570954,0.20548867,0.09483914,280.0,-4.820821,0.7,560.0,0.2
28,0.8564547,0.05604573,0.20427276,0.033685736,0.8485377,0.06814106,0.20474862,0.05033408,0.8454086,0.11125367,0.20573448,0.09522626,290.0,-3.9233513,0.8,580.0,0.15
29,0.8563197,0.056003246,0.20425,0.03358447,0.8484921,0.06814478,0.20474406,0.050061397,0.84504014,0.11162596,0.20590688,0.095101506,300.0,-2.646173,1.0,600.0,0.35
30,0.85631704,0.056026876,0.20423943,0.03352124,0.8484624,0.06812311,0.20472173,0.049815726,0.84489685,0.111359514,0.2058919,0.095562525,310.0,-1.8529953,1.0,620.0,0.4
31,0.8563457,0.05597228,0.20421566,0.0334258,0.8483812,0.068198465,0.20453925,0.050756365,0.8450907,0.11119593,0.20589061,0.09551174,320.0,-2.3505902,1.0,640.0,0.25
32,0.8565373,0.05597527,0.2042889,0.033327207,0.84867173,0.06812112,0.204599,0.05054543,0.845685,0.112478726,0.20608447,0.09649891,330.0,-1.8302141,0.9,660.0,0.1
33,0.8564501,0.055957183,0.20421949,0.033233788,0.84836835,0.06833221,0.20455536,0.051574063,0.8456776,0.11253074,0.20594181,0.096475154,340.0,-3.5026581,0.7,680.0,0.25
34,0.8565459,0.05584587,0.20424052,0.03311772,0.8484678,0.06821496,0.20456602,0.05127729,0.8459788,0.113289125,0.20578025,0.09729468,350.0,-4.049989,0.8,700.0,0.2
35,0.8566391,0.055832375,0.20426415,0.033020455,0.84851736,0.06815528,0.20469093,0.052736737,0.8456349,0.112716615,0.20574136,0.09666302,360.0,-2.176661,1.0,720.0,0.35
36,0.85664564,0.05586351,0.20427263,0.032977268,0.8485095,0.06824554,0.20474605,0.05343307,0.84609824,0.11222323,0.20593518,0.09641156,370.0,-1.9476392,0.8,740.0,0.2
37,0.8564913,0.055857565,0.20421422,0.032944523,0.84836364,0.06818666,0.2046606,0.053187728,0.8458295,0.112003475,0.20563138,0.09666685,380.0,-3.734219,0.7,760.0,0.25
38,0.85646313,0.055813763,0.20419073,0.032859154,0.8483688,0.06808058,0.20464164,0.052937735,0.8457169,0.11217753,0.20568608,0.09715305,390.0,-2.2343163,0.9,780.0,0.25
39,0.85638523,0.0558036,0.20415914,0.03289193,0.84842724,0.06796438,0.20465252,0.0527614,0.8455414,0.11229154,0.20567031,0.09723901,400.0,-4.430467,0.5,800.0,0.2
40,0.85635924,0.05585462,0.204132,0.032894753,0.8486571,0.067909986,0.20467354,0.053547524,0.8459904,0.11201034,0.20549598,0.097374134,410.0,-2.729472,0.8,820.0,0.15
41,0.85647744,0.055809867,0.20419262,0.03289696,0.84893316,0.06777007,0.20474859,0.053252243,0.84635633,0.111748226,0.20562825,0.09706285,420.0,-2.4154043,0.7,840.0,0.15
42,0.85669214,0.05574425,0.20426187,0.03282257,0.8492561,0.067741826,0.20481987,0.05296811,0.84690094,0.11210003,0.20555386,0.09694223,430.0,-1.9746109,0.9,860.0,0.25
43,0.85703045,0.05570419,0.20436966,0.0327512,0.8495888,0.06781543,0.20492043,0.053555135,0.8471317,0.111705124,0.20556517,0.09663592,440.0,-1.3957773,1.0,880.0,0.5
44,0.8571422,0.055681333,0.20441428,0.032749053,0.84963006,0.067955956,0.20498413,0.053453345,0.8473289,0.111325145,0.20559475,0.096311,450.0,-3.0770175,0.7,900.0,0.25
45,0.85720825,0.055709127,0.20445573,0.032716855,0.84976786,0.06798767,0.20498775,0.053300638,0.84771585,0.11144736,0.20572466,0.096206844,460.0,-1.532099,1.0,920.0,0.55
46,0.85719824,0.055631187,0.20445314,0.03264081,0.8496144,0.06818355,0.20501469,0.05324382,0.84770113,0.11110329,0.20572846,0.09566198,470.0,-1.046633,1.0,940.0,0.3
47,0.85719013,0.055609524,0.20445932,0.032598298,0.8496232,0.068129666,0.20501186,0.053002328,0.8483181,0.112139724,0.2057292,0.09584917,480.0,-3.0995462,0.9,960.0,0.25
48,0.8573331,0.05553635,0.20450729,0.032526016,0.8497841,0.06803141,0.20506394,0.05285421,0.8487087,0.112181164,0.20578678,0.09575652,490.0,-1.756489,1.0,980.0,0.35
49,0.8572437,0.055471316,0.20447463,0.032449745,0.84969443,0.0679073,0.20502119,0.052577414,0.84842306,0.1118383,0.2056838,0.095390856,500.0,-2.256577,0.9,1000.0,0.45
