# {"t_start": 1579903707.2758708, "env_id": "FetchPickAndPlace-v1"} 
r,l,t
-50.0,50,2.862814
-50.0,50,4.065805
-50.0,50,5.16361
-50.0,50,6.268569
-50.0,50,7.396515
-50.0,50,8.484529
-50.0,50,9.574674
-50.0,50,10.646738
-50.0,50,11.708915
-50.0,50,12.793439
-50.0,50,13.891424
-50.0,50,14.995389
-50.0,50,16.078
-50.0,50,17.161247
-50.0,50,18.248168
-50.0,50,19.334702
-50.0,50,20.452152
-50.0,50,21.549616
-50.0,50,22.659339
-50.0,50,23.759839
-50.0,50,24.952621
-50.0,50,25.063971
-50.0,50,25.189445
-50.0,50,25.306253
0.0,50,25.417813
-50.0,50,25.530721
-50.0,50,25.641577
-50.0,50,25.752931
0.0,50,25.873604
-50.0,50,25.986893
0.0,50,26.142906
-50.0,50,27.303387
-50.0,50,28.478587
-50.0,50,29.599754
-50.0,50,30.745102
-50.0,50,31.898599
-50.0,50,33.07435
-50.0,50,34.323844
-50.0,50,35.48491
-50.0,50,36.657207
-50.0,50,37.828601
-29.0,50,39.063216
-50.0,50,40.287433
-50.0,50,41.519655
-50.0,50,42.831296
-50.0,50,44.057129
-50.0,50,45.260825
-50.0,50,46.488549
-50.0,50,47.752033
-50.0,50,48.952357
-50.0,50,50.191885
-50.0,50,50.331907
-50.0,50,50.449511
-50.0,50,50.57563
-50.0,50,50.703483
-50.0,50,50.824059
-50.0,50,50.961785
-50.0,50,51.075774
-24.0,50,51.213349
-50.0,50,51.330755
-50.0,50,51.459016
-50.0,50,52.746281
-50.0,50,54.020736
-50.0,50,55.264133
-50.0,50,56.531204
-50.0,50,57.757252
-50.0,50,59.018257
-50.0,50,60.261478
-50.0,50,61.52317
-50.0,50,62.750713
-50.0,50,63.964494
-50.0,50,65.253574
-50.0,50,66.519634
-50.0,50,67.749511
-50.0,50,68.987172
-50.0,50,70.230879
-50.0,50,71.491525
-50.0,50,72.733713
-50.0,50,73.988634
-50.0,50,75.248534
-50.0,50,76.508143
-35.0,50,76.641856
-50.0,50,76.768465
-50.0,50,76.89931
-50.0,50,77.013671
-50.0,50,77.136201
-50.0,50,77.275584
-50.0,50,77.395205
-50.0,50,77.52976
-50.0,50,77.655417
-50.0,50,77.769485
-50.0,50,79.030403
-50.0,50,80.288819
-50.0,50,81.562267
-50.0,50,82.814016
-50.0,50,84.080081
-50.0,50,85.345268
-50.0,50,86.621064
-50.0,50,87.879815
-50.0,50,89.170537
-50.0,50,90.437333
-50.0,50,91.719322
-50.0,50,92.97008
-50.0,50,94.221715
-50.0,50,95.432289
-50.0,50,96.741324
-50.0,50,98.010311
-50.0,50,99.295346
-50.0,50,100.57442
