epoch,p0/stats_g/mean,p0/stats_g/std,p0/stats_o/mean,p0/stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,0.861345,0.10515501,0.20591615,0.04580135,10.0,-1.4225483,0.2,20.0,0.0
1,0.8533674,0.11491015,0.2050446,0.063706696,20.0,-2.4156995,0.1,40.0,0.05
2,0.8492232,0.11419796,0.20399365,0.06412215,30.0,-3.2196136,0.1,60.0,0.0
3,0.8489192,0.112858355,0.20432442,0.06708862,40.0,-3.5893111,0.1,80.0,0.0
4,0.8481063,0.111561425,0.20467126,0.067950055,50.0,-4.76732,0.0,100.0,0.0
5,0.8498573,0.11223199,0.20503813,0.0701772,60.0,-5.4599667,0.0,120.0,0.0
6,0.84964997,0.1110489,0.20512575,0.07058703,70.0,-5.2898245,0.4,140.0,0.0
7,0.84957534,0.109764315,0.20538445,0.071233,80.0,-6.3336453,0.0,160.0,0.0
8,0.8484376,0.10892276,0.20496722,0.07031021,90.0,-7.1178474,0.1,180.0,0.05
9,0.8482573,0.10838038,0.20466913,0.069997646,100.0,-8.15224,0.1,200.0,0.05
10,0.8482539,0.10750351,0.20465206,0.06891204,110.0,-6.6812925,0.4,220.0,0.0
11,0.84779626,0.10728722,0.20461346,0.06793199,120.0,-9.051878,0.1,240.0,0.05
12,0.84818286,0.106494255,0.20466848,0.06796624,130.0,-8.925894,0.2,260.0,0.0
13,0.8478891,0.10593184,0.20442723,0.070402965,140.0,-9.596721,0.2,280.0,0.0
14,0.8480484,0.10777425,0.20387988,0.07686689,150.0,-8.875658,0.3,300.0,0.05
15,0.8476178,0.10802287,0.2037168,0.079348415,160.0,-9.930057,0.2,320.0,0.1
16,0.8472302,0.1081031,0.20313358,0.08014954,170.0,-11.1090765,0.2,340.0,0.0
17,0.846641,0.108309805,0.20319189,0.08319106,180.0,-8.546991,0.5,360.0,0.0
18,0.84722036,0.10807023,0.20305721,0.084464416,190.0,-10.580721,0.3,380.0,0.05
19,0.8472836,0.107711814,0.20331036,0.08422229,200.0,-9.781763,0.3,400.0,0.0
20,0.8472294,0.1083546,0.20324335,0.08529612,210.0,-9.396119,0.1,420.0,0.05
21,0.84740824,0.1096063,0.20336042,0.08619707,220.0,-9.43373,0.3,440.0,0.0
22,0.8472195,0.10939453,0.20310976,0.08857128,230.0,-7.6368303,0.7,460.0,0.0
23,0.8474002,0.108686894,0.20345211,0.088604525,240.0,-13.522354,0.1,480.0,0.0
24,0.84708834,0.10890767,0.20333803,0.08960383,250.0,-9.629942,0.4,500.0,0.05
25,0.8477923,0.10912613,0.20375769,0.08971498,260.0,-8.0368185,0.4,520.0,0.05
26,0.8481094,0.1098359,0.20396276,0.090717494,270.0,-8.337397,0.5,540.0,0.05
27,0.8475054,0.11035582,0.2037475,0.09085311,280.0,-11.834809,0.3,560.0,0.0
28,0.84743404,0.11125455,0.2036289,0.0924574,290.0,-11.872811,0.3,580.0,0.0
29,0.8472646,0.110823356,0.20403615,0.09443905,300.0,-12.986059,0.2,600.0,0.05
30,0.847554,0.11096683,0.20399259,0.094705015,310.0,-11.468116,0.4,620.0,0.15
31,0.84713906,0.11086249,0.20361355,0.09472701,320.0,-11.020806,0.6,640.0,0.0
32,0.84731144,0.11114204,0.2036968,0.0949363,330.0,-15.9162245,0.4,660.0,0.15
33,0.847277,0.11130214,0.20360231,0.09506873,340.0,-12.020597,0.4,680.0,0.05
34,0.8469525,0.111795224,0.2041598,0.09639223,350.0,-13.577169,0.4,700.0,0.0
35,0.8470246,0.11183075,0.20391098,0.09632274,360.0,-12.182465,0.6,720.0,0.05
36,0.847202,0.11165798,0.20402287,0.09605783,370.0,-9.518408,0.6,740.0,0.15
37,0.84707385,0.11184466,0.20419922,0.09657568,380.0,-13.14478,0.6,760.0,0.15
38,0.84721535,0.111525506,0.2042286,0.09686015,390.0,-13.782071,0.5,780.0,0.1
39,0.8469437,0.11127948,0.20424162,0.09682896,400.0,-12.101065,0.5,800.0,0.1
40,0.8468759,0.11206088,0.20446686,0.09735042,410.0,-8.440539,0.7,820.0,0.1
41,0.8465478,0.112204485,0.20417352,0.09744859,420.0,-9.4442835,0.8,840.0,0.1
42,0.8464083,0.11330512,0.20426643,0.09844137,430.0,-10.739979,0.6,860.0,0.0
43,0.8460334,0.11334116,0.20423119,0.09858346,440.0,-10.545082,0.7,880.0,0.2
44,0.84597987,0.11358186,0.20439659,0.09880867,450.0,-11.356723,0.4,900.0,0.05
45,0.84590846,0.11371201,0.20424913,0.098779924,460.0,-8.0551195,0.5,920.0,0.15
46,0.84620047,0.11347673,0.20408833,0.09908499,470.0,-13.581607,0.3,940.0,0.05
47,0.8463363,0.11539528,0.20408876,0.09981713,480.0,-10.92099,0.5,960.0,0.2
48,0.8462622,0.115003474,0.20416668,0.099825054,490.0,-12.168436,0.5,980.0,0.1
49,0.8463909,0.11569142,0.2042367,0.09980914,500.0,-8.2339525,0.5,1000.0,0.15
50,0.8464713,0.11534515,0.20428614,0.099687405,510.0,-7.9230223,0.6,1020.0,0.15
51,0.8461354,0.11516983,0.20417964,0.09949473,520.0,-7.8384743,0.6,1040.0,0.3
52,0.8460095,0.115113586,0.20426196,0.10018399,530.0,-9.081692,0.6,1060.0,0.2
53,0.8461425,0.115183145,0.20455468,0.10088021,540.0,-11.555241,0.4,1080.0,0.15
54,0.8460352,0.114838295,0.20463623,0.100907,550.0,-14.06542,0.4,1100.0,0.05
55,0.8462612,0.11472281,0.20458166,0.10117063,560.0,-8.478372,0.5,1120.0,0.15
56,0.8466416,0.11506176,0.2047827,0.101811714,570.0,-7.9668603,0.6,1140.0,0.0
57,0.846881,0.11546525,0.20490628,0.10242472,580.0,-12.09261,0.3,1160.0,0.15
58,0.8464119,0.11761161,0.2047421,0.10317742,590.0,-11.691957,0.3,1180.0,0.1
59,0.84633476,0.118575186,0.20491707,0.10415521,600.0,-12.526743,0.2,1200.0,0.0
60,0.8462618,0.11876374,0.20497197,0.104631275,610.0,-11.758563,0.4,1220.0,0.0
61,0.8464516,0.118462525,0.2049449,0.10504355,620.0,-10.075254,0.4,1240.0,0.15
62,0.8464183,0.11880375,0.20485944,0.10542092,630.0,-11.97345,0.4,1260.0,0.05
63,0.84638923,0.1187784,0.20490788,0.10562182,640.0,-9.248166,0.5,1280.0,0.05
64,0.84641093,0.11907708,0.20483568,0.106094986,650.0,-7.338736,0.6,1300.0,0.1
65,0.8465461,0.11897555,0.20487946,0.10599455,660.0,-8.765019,0.2,1320.0,0.05
66,0.8463834,0.11898088,0.20478839,0.10614294,670.0,-12.508191,0.0,1340.0,0.05
67,0.84648734,0.11873009,0.20472269,0.106336534,680.0,-9.914394,0.2,1360.0,0.05
68,0.8466006,0.119023256,0.20456874,0.10628704,690.0,-9.317749,0.2,1380.0,0.05
69,0.8461636,0.11946737,0.2043799,0.106721096,700.0,-14.463697,0.3,1400.0,0.1
70,0.8461167,0.11941541,0.20420939,0.10685896,710.0,-11.64832,0.4,1420.0,0.1
71,0.8460733,0.11935619,0.2041429,0.10685119,720.0,-7.4892297,0.7,1440.0,0.0
