# {"t_start": 1580500175.3505654, "env_id": "FetchPickAndPlace-v1"} 
r,l,t
-50.0,50,4.058229
-50.0,50,5.327322
-50.0,50,6.492221
-50.0,50,7.625415
-50.0,50,8.7851
-50.0,50,9.940042
-50.0,50,11.086127
-50.0,50,12.276717
-50.0,50,13.515036
-50.0,50,14.648227
-50.0,50,15.775287
-50.0,50,16.921211
-50.0,50,18.086026
-50.0,50,19.226993
-33.0,50,20.425624
-50.0,50,21.583155
-50.0,50,22.741768
-50.0,50,23.902163
-50.0,50,25.069801
-50.0,50,26.218066
-26.0,50,27.409323
-50.0,50,27.596128
-50.0,50,27.78292
-50.0,50,27.983079
-50.0,50,28.165662
-50.0,50,28.372022
-50.0,50,28.550328
-50.0,50,28.718571
-50.0,50,28.920322
-50.0,50,29.127271
-50.0,50,29.350134
-50.0,50,30.489088
-50.0,50,31.687966
-50.0,50,32.872234
-50.0,50,34.087611
-50.0,50,35.259559
-50.0,50,36.414716
-50.0,50,37.555162
-50.0,50,38.698024
-50.0,50,39.806172
-50.0,50,40.941775
-50.0,50,42.129145
-50.0,50,43.370232
-50.0,50,44.561237
-50.0,50,45.722669
-50.0,50,46.874298
-50.0,50,48.063091
-50.0,50,49.280388
-50.0,50,50.461271
-9.0,50,51.593581
-50.0,50,52.758797
-50.0,50,52.955455
-50.0,50,53.154014
-50.0,50,53.350034
0,50,53.513014
-50.0,50,53.686631
-50.0,50,53.859652
-50.0,50,54.029956
-50.0,50,54.225503
-50.0,50,54.401485
-50.0,50,54.57043
-50.0,50,55.704991
-50.0,50,56.897484
-50.0,50,58.043639
-46.0,50,59.199476
-50.0,50,60.37696
-50.0,50,61.564879
-50.0,50,62.728679
-50.0,50,63.88814
-50.0,50,65.032234
-50.0,50,66.242828
0,50,67.438495
-50.0,50,68.63931
-50.0,50,69.796039
-50.0,50,70.987784
-50.0,50,72.20162
-50.0,50,73.421655
-50.0,50,74.618776
-44.0,50,75.822975
-50.0,50,77.015232
-50.0,50,78.192941
-38.0,50,78.397673
-50.0,50,78.597476
0,50,78.799768
-50.0,50,79.019814
-50.0,50,79.223269
-50.0,50,79.413629
-50.0,50,79.61324
-28.0,50,79.815835
-50.0,50,80.01141
-50.0,50,80.201182
-50.0,50,81.417944
-50.0,50,82.640443
-50.0,50,83.868075
-50.0,50,85.074429
-50.0,50,86.267935
-50.0,50,87.436267
-50.0,50,88.618622
-50.0,50,89.775147
-50.0,50,90.951139
-50.0,50,92.167287
-50.0,50,93.374392
-50.0,50,94.549293
-50.0,50,95.728155
-41.0,50,96.883055
-20.0,50,98.069839
-50.0,50,99.268325
-50.0,50,100.454229
-50.0,50,101.646006
-50.0,50,102.8244
-28.0,50,104.094733
-44.0,50,104.303059
-47.0,50,104.490179
-50.0,50,104.676113
-50.0,50,104.861623
-29.0,50,105.059412
0,50,105.268542
-34.0,50,105.463502
-50.0,50,105.651582
-30.0,50,105.847795
-49.0,50,106.047898
-50.0,50,107.257409
-50.0,50,108.422698
-50.0,50,109.633564
-50.0,50,110.793372
-50.0,50,112.025069
-50.0,50,113.22393
-50.0,50,114.494828
-50.0,50,115.743918
-50.0,50,116.945289
-50.0,50,118.159257
-50.0,50,119.373405
-50.0,50,120.544803
-48.0,50,121.736326
-50.0,50,122.926299
-50.0,50,124.144293
-50.0,50,125.330779
-50.0,50,126.528864
-50.0,50,127.707238
-50.0,50,128.903574
-50.0,50,130.111916
-50.0,50,130.281247
-4.0,50,130.482338
-50.0,50,130.671091
-50.0,50,130.873915
-50.0,50,131.069196
-50.0,50,131.254075
-50.0,50,131.43477
-50.0,50,131.605438
-50.0,50,131.792891
-50.0,50,131.968874
-50.0,50,133.164002
-50.0,50,134.35566
-50.0,50,135.544292
-50.0,50,136.738317
-50.0,50,137.926688
-50.0,50,139.116822
-50.0,50,140.361563
-50.0,50,141.562948
-21.0,50,142.765238
-50.0,50,143.962672
-46.0,50,145.179357
-50.0,50,146.385709
-50.0,50,147.545597
-50.0,50,148.690967
-50.0,50,149.866179
-50.0,50,151.067405
-50.0,50,152.273037
-50.0,50,153.470917
-50.0,50,154.689666
-50.0,50,155.895511
-50.0,50,156.075438
-46.0,50,156.245474
-24.0,50,156.429515
-33.0,50,156.614753
-50.0,50,156.783512
-18.0,50,156.971021
-48.0,50,157.179731
-50.0,50,157.36288
-46.0,50,157.553923
-50.0,50,157.733116
-50.0,50,158.931817
-50.0,50,160.108067
-24.0,50,161.266536
-50.0,50,162.411015
-50.0,50,163.651083
-50.0,50,164.906288
-50.0,50,166.074378
-50.0,50,167.254716
-50.0,50,168.469729
-33.0,50,169.717813
-50.0,50,170.969644
-50.0,50,172.1813
-50.0,50,173.430216
-50.0,50,174.67711
-50.0,50,175.929957
-50.0,50,177.170347
-50.0,50,178.438479
-50.0,50,179.711672
-50.0,50,180.948543
-50.0,50,182.149082
-45.0,50,182.32275
