epoch,p0/stats_g/mean,p0/stats_g/std,p0/stats_o/mean,p0/stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,0.8623678,0.115668364,0.20685978,0.065502234,10.0,-1.8901463,0.1,20.0,0.0
1,0.8588404,0.1145856,0.20534082,0.06740615,20.0,-2.269333,0.1,40.0,0.0
2,0.8567111,0.11228722,0.20408976,0.0696581,30.0,-2.3183894,0.2,60.0,0.1
3,0.8558243,0.11063645,0.20459078,0.068928726,40.0,-2.9666128,0.5,80.0,0.05
4,0.8553236,0.10976654,0.20474732,0.06897368,50.0,-5.08053,0.1,100.0,0.0
5,0.8540499,0.11107769,0.20479712,0.069922805,60.0,-4.5224257,0.3,120.0,0.05
6,0.85226417,0.11037054,0.20486012,0.074142925,70.0,-4.901544,0.5,140.0,0.0
7,0.8533275,0.11304957,0.20491138,0.07565509,80.0,-5.993627,0.4,160.0,0.0
8,0.85352063,0.11273093,0.20522867,0.07660943,90.0,-5.253297,0.3,180.0,0.0
9,0.8535306,0.111759014,0.2057109,0.07784762,100.0,-6.4782944,0.4,200.0,0.05
10,0.85270315,0.111686625,0.20566894,0.07847282,110.0,-9.020567,0.1,220.0,0.05
11,0.85231376,0.112543225,0.20566905,0.07949558,120.0,-8.546068,0.2,240.0,0.0
12,0.85134107,0.11547708,0.20544872,0.08203448,130.0,-7.169345,0.3,260.0,0.05
13,0.85036296,0.11648253,0.20544796,0.083654955,140.0,-7.6910744,0.4,280.0,0.0
14,0.8496029,0.11959037,0.20517454,0.08632497,150.0,-9.116309,0.2,300.0,0.0
15,0.8500797,0.124144346,0.20492968,0.09068475,160.0,-7.55352,0.3,320.0,0.1
16,0.8494974,0.12450629,0.20474343,0.09113414,170.0,-8.775313,0.3,340.0,0.0
17,0.8497579,0.12513022,0.20451914,0.09326471,180.0,-11.022734,0.2,360.0,0.0
18,0.8484604,0.12576573,0.20423889,0.09452954,190.0,-12.314882,0.0,380.0,0.0
