# {"t_start": 1580500816.013968, "env_id": "FetchPickAndPlace-v1"} 
r,l,t
-50.0,50,3.56794
-50.0,50,4.757949
-50.0,50,6.0377
0,50,7.305099
-50.0,50,8.562152
-50.0,50,9.864533
-50.0,50,11.098629
0,50,12.312672
-50.0,50,13.604628
-50.0,50,14.848613
-50.0,50,16.085075
-50.0,50,17.381335
-50.0,50,18.59826
-50.0,50,19.847438
-50.0,50,21.049475
-50.0,50,22.264535
-50.0,50,23.507577
-50.0,50,24.702376
-50.0,50,25.946622
-50.0,50,27.219827
-50.0,50,28.510051
-50.0,50,28.685749
-50.0,50,28.888736
-50.0,50,29.099686
-50.0,50,29.300858
-50.0,50,29.491003
-50.0,50,29.678924
-50.0,50,29.924117
-50.0,50,30.106824
-50.0,50,30.307013
-3.0,50,30.551562
-50.0,50,31.831882
-40.0,50,33.089391
-50.0,50,34.403798
-50.0,50,35.713036
-50.0,50,36.990097
-50.0,50,38.27412
-50.0,50,39.597132
-50.0,50,40.893383
-50.0,50,42.232087
0,50,43.523519
-50.0,50,44.842238
-50.0,50,46.183877
-50.0,50,47.510935
-50.0,50,48.857223
-50.0,50,50.159676
0,50,51.535076
-50.0,50,52.886273
-50.0,50,54.22172
-50.0,50,55.449703
-50.0,50,56.65517
-50.0,50,56.850915
-50.0,50,57.047282
-50.0,50,57.237706
-50.0,50,57.419736
-50.0,50,57.619187
-50.0,50,57.805927
-50.0,50,57.999594
-50.0,50,58.192783
-50.0,50,58.382517
-50.0,50,58.586413
-50.0,50,59.80131
-50.0,50,61.049976
-50.0,50,62.259319
-50.0,50,63.471402
-50.0,50,64.703869
-50.0,50,65.97081
-50.0,50,67.185452
-50.0,50,68.49715
-50.0,50,69.81069
-50.0,50,71.200154
-50.0,50,72.595367
-50.0,50,73.895278
-50.0,50,75.248362
-50.0,50,76.583697
-50.0,50,77.895112
-50.0,50,79.208647
-50.0,50,80.496161
-50.0,50,81.80433
-50.0,50,83.084738
-50.0,50,84.339933
-50.0,50,84.521633
-50.0,50,84.708477
-50.0,50,84.901007
-50.0,50,85.088613
-50.0,50,85.284188
-50.0,50,85.464901
-50.0,50,85.656015
-50.0,50,85.878014
-50.0,50,86.065352
-50.0,50,86.233663
-50.0,50,87.492798
-50.0,50,88.752686
-50.0,50,89.978068
-50.0,50,91.253988
-50.0,50,92.556412
-50.0,50,93.85693
-50.0,50,95.128111
-50.0,50,96.40747
-50.0,50,97.736122
-50.0,50,99.050342
-50.0,50,100.390181
-50.0,50,101.710018
-50.0,50,103.059519
-50.0,50,104.45086
-50.0,50,105.796264
-50.0,50,107.121254
-50.0,50,108.501009
-50.0,50,109.796648
-50.0,50,111.124035
-50.0,50,112.441305
-50.0,50,112.651429
-50.0,50,112.854512
-50.0,50,113.0645
-50.0,50,113.272305
-50.0,50,113.475825
-50.0,50,113.663496
-50.0,50,113.873517
-50.0,50,114.043894
-50.0,50,114.247649
-50.0,50,114.444242
-50.0,50,115.74297
-50.0,50,117.094332
-50.0,50,118.419833
-50.0,50,119.658263
-50.0,50,121.01781
-50.0,50,122.325995
-50.0,50,123.662564
-50.0,50,124.977878
-50.0,50,126.246357
-50.0,50,127.46866
-50.0,50,128.711335
-50.0,50,129.972416
-50.0,50,131.327947
-50.0,50,132.675468
-50.0,50,133.997281
-50.0,50,135.271827
-50.0,50,136.553154
-50.0,50,137.880091
-45.0,50,139.207463
-50.0,50,140.540787
-50.0,50,140.732141
-50.0,50,140.941337
-50.0,50,141.134664
-50.0,50,141.335569
-50.0,50,141.530996
-50.0,50,141.763514
-50.0,50,141.975451
-50.0,50,142.158765
0,50,142.374125
-34.0,50,142.55894
-50.0,50,143.833099
-50.0,50,145.127124
-50.0,50,146.400933
-50.0,50,147.687241
-50.0,50,148.936218
-41.0,50,150.209932
-50.0,50,151.531197
