epoch,p0/stats_g/mean,p0/stats_g/std,p0/stats_o/mean,p0/stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,0.86379504,0.104103625,0.20754384,0.046269704,10.0,-2.2046173,0.0,20.0,0.1
1,0.8593747,0.10240605,0.205714,0.051860753,20.0,-2.9471335,0.0,40.0,0.15
2,0.85783696,0.10349675,0.20621756,0.05558028,30.0,-3.938882,0.0,60.0,0.0
3,0.8572073,0.10619188,0.20606288,0.06407569,40.0,-4.7179747,0.0,80.0,0.0
4,0.8573677,0.10906059,0.2062406,0.065010294,50.0,-4.7815104,0.1,100.0,0.0
5,0.8575895,0.10999467,0.2065277,0.06621503,60.0,-3.9328694,0.7,120.0,0.0
6,0.85549116,0.11170635,0.20590948,0.06802715,70.0,-5.769523,0.2,140.0,0.1
7,0.85556823,0.112042785,0.20574456,0.06782939,80.0,-5.991641,0.3,160.0,0.0
8,0.853478,0.112642944,0.20573753,0.06932899,90.0,-6.250333,0.2,180.0,0.1
9,0.8538344,0.11135619,0.20635402,0.06973878,100.0,-6.6689363,0.2,200.0,0.0
10,0.8539753,0.11070632,0.20650916,0.07026313,110.0,-8.30763,0.2,220.0,0.0
11,0.85379094,0.110126324,0.20640904,0.07273964,120.0,-7.6252947,0.1,240.0,0.0
12,0.8535772,0.11104673,0.20664269,0.07481298,130.0,-8.545065,0.2,260.0,0.0
13,0.8539515,0.11100917,0.20655519,0.07707231,140.0,-8.74164,0.2,280.0,0.05
14,0.85304195,0.11039338,0.20619982,0.07997311,150.0,-8.835122,0.3,300.0,0.0
15,0.8520852,0.110835135,0.20592894,0.08097917,160.0,-10.788498,0.1,320.0,0.0
16,0.85172695,0.11157781,0.20560011,0.08339531,170.0,-8.839655,0.3,340.0,0.1
17,0.85202765,0.11321653,0.20516744,0.087364666,180.0,-8.91897,0.3,360.0,0.05
18,0.8514975,0.11398401,0.20456539,0.08943781,190.0,-7.3690147,0.5,380.0,0.05
19,0.85119325,0.11607755,0.20446506,0.09162004,200.0,-5.7903795,0.6,400.0,0.1
20,0.8495595,0.118361615,0.20395061,0.093853615,210.0,-7.397113,0.5,420.0,0.1
21,0.8481738,0.12162402,0.20385948,0.09670077,220.0,-7.795668,0.4,440.0,0.15
22,0.8474782,0.12317058,0.20403571,0.09895328,230.0,-8.093691,0.4,460.0,0.1
23,0.8466452,0.12473319,0.20389436,0.102044605,240.0,-7.381621,0.5,480.0,0.0
