# {"t_start": 1580501487.0310566, "env_id": "FetchPickAndPlace-v1"} 
r,l,t
0,50,4.327557
-50.0,50,5.947115
-50.0,50,7.324846
-50.0,50,8.66725
-50.0,50,10.046116
-50.0,50,11.369181
-50.0,50,12.667196
-50.0,50,13.924209
-50.0,50,15.242599
-50.0,50,16.615619
-50.0,50,17.964863
-50.0,50,19.294773
-50.0,50,20.661979
-50.0,50,22.013714
-7.0,50,23.361627
-50.0,50,24.674155
-50.0,50,26.102148
-30.0,50,27.516057
-50.0,50,28.900344
-50.0,50,30.24259
-50.0,50,31.662408
-50.0,50,31.939293
-50.0,50,32.188963
-5.0,50,32.424649
-50.0,50,32.656906
-50.0,50,32.91239
-50.0,50,33.143229
-50.0,50,33.404471
-50.0,50,33.659492
-50.0,50,33.902571
-50.0,50,34.198361
-50.0,50,35.653188
-31.0,50,37.095122
-50.0,50,38.512892
-50.0,50,39.985101
-50.0,50,41.437034
-22.0,50,42.828676
-50.0,50,44.227177
-50.0,50,45.666075
-50.0,50,47.092442
-50.0,50,48.52978
-50.0,50,49.909813
-50.0,50,51.362965
-50.0,50,52.841823
-50.0,50,54.288091
-50.0,50,55.761333
-50.0,50,57.221678
-50.0,50,58.575592
-50.0,50,59.97052
-50.0,50,61.443027
-50.0,50,62.945327
-50.0,50,63.170732
-50.0,50,63.412786
-50.0,50,63.665737
-50.0,50,63.90976
-50.0,50,64.149934
-50.0,50,64.395343
-50.0,50,64.61208
-28.0,50,64.838964
-50.0,50,65.047189
-50.0,50,65.270876
-50.0,50,66.656476
-50.0,50,68.073585
-50.0,50,69.445268
-50.0,50,70.868457
-50.0,50,72.299306
-50.0,50,73.763952
-50.0,50,75.150628
-50.0,50,76.573388
-40.0,50,77.946428
-50.0,50,79.373053
-50.0,50,80.786678
-50.0,50,82.209915
-50.0,50,83.691152
-50.0,50,85.139628
-50.0,50,86.597197
-50.0,50,87.962437
-50.0,50,89.365804
-50.0,50,90.79306
-50.0,50,92.194355
-50.0,50,93.63882
-50.0,50,93.869354
-50.0,50,94.11853
-50.0,50,94.34218
-50.0,50,94.583572
-50.0,50,94.828179
-50.0,50,95.064072
-50.0,50,95.304918
-50.0,50,95.542024
-50.0,50,95.762537
-50.0,50,96.005086
-50.0,50,97.478786
-50.0,50,98.914968
-50.0,50,100.335177
-50.0,50,101.672202
-27.0,50,103.095122
-50.0,50,104.504478
-50.0,50,105.90128
-50.0,50,107.325475
-50.0,50,108.717403
-23.0,50,110.164404
-50.0,50,111.614996
-34.0,50,113.000441
-50.0,50,114.434415
-50.0,50,115.87131
-50.0,50,117.312875
-50.0,50,118.746447
-50.0,50,120.193672
0,50,121.631672
-43.0,50,123.09956
-50.0,50,124.508179
-30.0,50,124.746731
-47.0,50,124.967416
-50.0,50,125.174386
-50.0,50,125.374041
-50.0,50,125.583283
-50.0,50,125.798329
-50.0,50,126.00648
-36.0,50,126.231566
-50.0,50,126.473718
-50.0,50,126.678132
-50.0,50,128.033709
-50.0,50,129.513532
-50.0,50,131.04254
-50.0,50,132.548561
-50.0,50,134.097515
-50.0,50,135.56468
-50.0,50,137.05475
-50.0,50,138.553928
-50.0,50,140.07191
-50.0,50,141.524212
-50.0,50,142.941751
-50.0,50,144.448598
-50.0,50,145.931861
-50.0,50,147.446789
-50.0,50,149.006139
-47.0,50,150.500796
-50.0,50,151.977671
-50.0,50,153.462984
-50.0,50,154.954228
-50.0,50,156.411
-50.0,50,156.648165
-50.0,50,156.861699
-50.0,50,157.079211
-50.0,50,157.305156
-50.0,50,157.492061
-50.0,50,157.699952
-50.0,50,157.926425
-50.0,50,158.159196
-50.0,50,158.399921
-50.0,50,158.617728
-15.0,50,160.069459
-50.0,50,161.548009
-50.0,50,163.035341
-31.0,50,164.590577
-50.0,50,166.081405
-50.0,50,167.608234
-50.0,50,169.105889
-50.0,50,170.685835
-50.0,50,172.132283
-32.0,50,173.562739
-50.0,50,174.960709
-50.0,50,176.403414
-50.0,50,177.827356
-50.0,50,179.343633
-50.0,50,180.805635
-49.0,50,182.381181
-50.0,50,183.822435
-50.0,50,185.4077
-50.0,50,186.912466
-50.0,50,188.399196
-50.0,50,188.600981
-50.0,50,188.798219
-50.0,50,189.021353
-50.0,50,189.239967
-50.0,50,189.480306
-50.0,50,189.715376
-50.0,50,189.924814
-50.0,50,190.173126
-19.0,50,190.429425
-50.0,50,190.667305
-50.0,50,192.149583
-50.0,50,193.662995
-50.0,50,195.154929
-50.0,50,196.648388
-50.0,50,198.14759
-50.0,50,199.712234
-50.0,50,201.205117
-50.0,50,202.837206
-50.0,50,204.468548
-50.0,50,205.96526
-24.0,50,207.477365
-50.0,50,208.969635
-50.0,50,210.522244
-50.0,50,211.958081
-50.0,50,213.446242
-50.0,50,214.89156
-50.0,50,216.303812
-50.0,50,217.683009
-50.0,50,219.101098
-50.0,50,220.577978
-50.0,50,220.794767
-22.0,50,221.021215
0,50,221.285181
-50.0,50,221.491582
-36.0,50,221.730989
-50.0,50,221.953388
-50.0,50,222.149228
-50.0,50,222.371161
-50.0,50,222.597671
-50.0,50,222.784868
-50.0,50,224.218499
-50.0,50,225.65081
-50.0,50,227.104755
-50.0,50,228.6408
-50.0,50,230.165213
-50.0,50,231.636001
-24.0,50,233.10715
-50.0,50,234.559005
-50.0,50,236.135875
-50.0,50,237.614152
-50.0,50,239.083688
-50.0,50,240.559985
-26.0,50,242.018992
-50.0,50,243.578568
-50.0,50,245.027902
-50.0,50,246.493215
-50.0,50,247.927287
-50.0,50,249.372956
-50.0,50,250.85652
-30.0,50,252.350265
-50.0,50,252.58578
-50.0,50,252.824663
-17.0,50,253.049039
-22.0,50,253.268264
-31.0,50,253.501329
-50.0,50,253.73713
-19.0,50,253.973641
-1.0,50,254.206703
-31.0,50,254.434318
-50.0,50,254.651641
-50.0,50,256.204931
-50.0,50,257.718549
-50.0,50,259.247066
-50.0,50,260.734466
-50.0,50,262.148707
-50.0,50,263.699396
-50.0,50,265.215711
-50.0,50,266.723273
-50.0,50,268.277546
-50.0,50,269.816788
-50.0,50,271.376712
-50.0,50,272.887344
-50.0,50,274.471039
-50.0,50,276.001347
-50.0,50,277.546762
-50.0,50,279.108679
-50.0,50,280.680039
-50.0,50,282.190931
-31.0,50,283.662768
-50.0,50,285.181649
-31.0,50,285.406905
0,50,285.641785
-16.0,50,285.870437
-41.0,50,286.084902
-50.0,50,286.307164
-50.0,50,286.553105
-36.0,50,286.771972
-26.0,50,287.001413
-50.0,50,287.220884
-50.0,50,287.440067
-50.0,50,288.875676
-50.0,50,290.369441
-50.0,50,291.831692
-50.0,50,293.255287
-50.0,50,294.755945
-50.0,50,296.275058
-24.0,50,297.85322
-50.0,50,299.374178
-50.0,50,300.900064
-50.0,50,302.413703
-50.0,50,303.953951
-50.0,50,305.441979
-50.0,50,307.049051
-50.0,50,308.6238
-50.0,50,310.134547
-3.0,50,311.697371
-50.0,50,313.247291
-50.0,50,314.800396
-50.0,50,316.457815
-50.0,50,317.971166
-50.0,50,318.195882
-18.0,50,318.450065
-50.0,50,318.663517
-11.0,50,318.905407
-50.0,50,319.116277
-50.0,50,319.328966
-50.0,50,319.573581
-50.0,50,319.794606
-41.0,50,320.004218
-50.0,50,320.242128
-50.0,50,321.788774
-50.0,50,323.367545
-50.0,50,324.903946
-50.0,50,326.44094
-50.0,50,328.09127
-50.0,50,329.619858
-50.0,50,331.220445
-50.0,50,332.753863
-50.0,50,334.256901
-50.0,50,335.800462
-50.0,50,337.364704
-50.0,50,338.952456
-29.0,50,340.630956
-50.0,50,342.184137
-50.0,50,343.657343
-50.0,50,345.139673
-50.0,50,346.692469
-50.0,50,348.180367
-50.0,50,349.630327
-50.0,50,351.165829
-15.0,50,351.41044
0,50,351.654181
-14.0,50,351.905936
-4.0,50,352.127764
-34.0,50,352.340507
-50.0,50,352.559653
-50.0,50,352.76511
-50.0,50,352.975152
-50.0,50,353.185337
-50.0,50,353.36642
-50.0,50,354.952364
-50.0,50,356.565389
-50.0,50,358.171159
-50.0,50,359.797087
-48.0,50,361.40346
-50.0,50,363.030593
-50.0,50,364.619697
-50.0,50,366.106217
-50.0,50,367.567079
-50.0,50,369.081823
-50.0,50,370.511276
-37.0,50,372.028508
-50.0,50,373.502885
-50.0,50,374.976776
-50.0,50,376.458512
-50.0,50,377.950507
-50.0,50,379.483015
-50.0,50,380.949902
-50.0,50,382.461523
-1.0,50,383.964538
-44.0,50,384.199095
-50.0,50,384.408653
-50.0,50,384.631905
-50.0,50,384.825238
-50.0,50,385.027401
-50.0,50,385.220876
-50.0,50,385.44111
-50.0,50,385.659184
-50.0,50,385.862265
-50.0,50,386.077668
-50.0,50,387.593261
-50.0,50,389.101328
-50.0,50,390.63517
-50.0,50,392.08913
-50.0,50,393.59691
-50.0,50,395.168474
-50.0,50,396.711823
-50.0,50,398.233547
-50.0,50,399.786814
-50.0,50,401.32521
-50.0,50,402.901737
-50.0,50,404.438509
-50.0,50,406.002385
-50.0,50,407.605575
-50.0,50,409.22593
-50.0,50,410.766683
-50.0,50,412.33383
-50.0,50,413.906918
-50.0,50,415.522033
-50.0,50,417.12784
-50.0,50,417.369367
-15.0,50,417.619874
-50.0,50,417.863236
-50.0,50,418.120244
-50.0,50,418.370255
-50.0,50,418.589535
-50.0,50,418.81713
-50.0,50,419.058436
-10.0,50,419.296052
-50.0,50,419.526906
-50.0,50,421.086097
-50.0,50,422.536016
-50.0,50,424.071159
-50.0,50,425.531861
-50.0,50,427.016117
-50.0,50,428.488178
-50.0,50,430.044185
-50.0,50,431.580934
-50.0,50,433.022023
-50.0,50,434.492594
-50.0,50,436.027598
-50.0,50,437.561827
-50.0,50,439.069833
-50.0,50,440.58305
-50.0,50,442.155096
-45.0,50,443.747597
-50.0,50,445.295209
-50.0,50,446.817676
-50.0,50,448.359143
-50.0,50,449.838294
-50.0,50,450.058188
-50.0,50,450.24334
-29.0,50,450.481398
-21.0,50,450.717814
-50.0,50,450.964792
-50.0,50,451.1979
-50.0,50,451.416147
-50.0,50,451.621355
-50.0,50,451.842997
-50.0,50,452.084221
-50.0,50,453.612539
-50.0,50,455.081619
-50.0,50,456.571619
-50.0,50,458.052323
-50.0,50,459.581459
-50.0,50,461.111557
-50.0,50,462.609461
-50.0,50,464.15678
-50.0,50,465.688627
