epoch,p0/stats_g/mean,p0/stats_g/std,p0/stats_o/mean,p0/stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,0.8703913,0.10844463,0.20706335,0.05285996,10.0,-1.6433733,0.1,20.0,0.1
1,0.86615086,0.10890887,0.2056829,0.072807506,20.0,-2.4624515,0.1,40.0,0.05
2,0.8622646,0.11436143,0.20301712,0.07992963,30.0,-4.0236692,0.0,60.0,0.0
3,0.8596266,0.11662301,0.20312274,0.083306275,40.0,-3.3243072,0.2,80.0,0.05
4,0.8584041,0.119613945,0.2033088,0.08516077,50.0,-5.1118116,0.0,100.0,0.0
5,0.8555529,0.12242029,0.20267391,0.088978045,60.0,-5.05062,0.1,120.0,0.05
6,0.85570663,0.122117184,0.20260102,0.088077,70.0,-5.9793944,0.2,140.0,0.0
7,0.8543954,0.12084725,0.20250867,0.08660268,80.0,-4.317685,0.7,160.0,0.05
8,0.8543398,0.120031364,0.20252264,0.08833408,90.0,-5.1146116,0.6,180.0,0.0
9,0.852782,0.11897109,0.20268555,0.08882925,100.0,-7.14898,0.2,200.0,0.05
10,0.8519866,0.1181196,0.20198688,0.089365855,110.0,-5.850192,0.5,220.0,0.0
11,0.8509119,0.119163655,0.20202637,0.08945364,120.0,-8.674271,0.1,240.0,0.0
12,0.8497536,0.119540654,0.20176464,0.08939692,130.0,-8.203294,0.2,260.0,0.0
13,0.8487713,0.11959348,0.2020883,0.089605846,140.0,-9.457628,0.2,280.0,0.0
14,0.84848905,0.11901919,0.20223911,0.090127766,150.0,-10.527479,0.2,300.0,0.0
15,0.8483241,0.11974161,0.20229526,0.091296196,160.0,-10.876556,0.1,320.0,0.0
16,0.8483481,0.11931918,0.2023111,0.09099146,170.0,-8.46385,0.4,340.0,0.0
17,0.8491509,0.119448006,0.20234476,0.09134862,180.0,-7.055832,0.5,360.0,0.1
18,0.8492312,0.1215777,0.20253044,0.093115956,190.0,-10.620781,0.4,380.0,0.0
19,0.84931064,0.1223347,0.20284946,0.09588786,200.0,-9.50575,0.4,400.0,0.05
20,0.8479414,0.12540871,0.20268016,0.0986179,210.0,-9.122871,0.2,420.0,0.05
21,0.84746814,0.12695386,0.20270626,0.10083552,220.0,-7.4683504,0.7,440.0,0.15
22,0.8471536,0.12843505,0.20282036,0.10156722,230.0,-9.734438,0.4,460.0,0.0
