# {"t_start": 1582608645.7917173, "env_id": "FetchPickAndPlace-v1"} 
r,l,t
-50.0,50,2.630964
-50.0,50,3.641492
-50.0,50,4.492301
-50.0,50,5.276955
-50.0,50,6.102107
-50.0,50,6.893681
-50.0,50,7.666799
-50.0,50,8.461449
-50.0,50,9.297275
-50.0,50,10.087914
-50.0,50,10.889302
-50.0,50,11.683446
-50.0,50,12.573746
-50.0,50,13.477728
-50.0,50,14.325495
-50.0,50,15.152735
-50.0,50,16.003668
-50.0,50,16.844285
-50.0,50,17.663148
-50.0,50,18.505059
-50.0,50,19.336917
-50.0,50,20.185571
-50.0,50,21.022941
-50.0,50,21.900008
-50.0,50,22.752016
-50.0,50,23.622108
-50.0,50,24.506751
-50.0,50,25.372137
-50.0,50,26.232179
-50.0,50,27.086661
-50.0,50,27.930471
-50.0,50,28.742689
-50.0,50,29.53798
-50.0,50,30.335774
-50.0,50,31.135042
-50.0,50,31.945143
-50.0,50,32.754118
-50.0,50,33.566285
0,50,34.37655
-50.0,50,35.181904
-50.0,50,35.985033
-50.0,50,36.779366
-50.0,50,37.61809
-50.0,50,38.500708
-50.0,50,39.468027
-50.0,50,40.33354
0,50,41.218562
-50.0,50,42.113749
-50.0,50,42.994314
-50.0,50,43.89239
-50.0,50,44.825007
-50.0,50,44.956946
-50.0,50,45.089321
-50.0,50,45.215185
-50.0,50,45.341994
-50.0,50,45.46147
-50.0,50,45.573779
0,50,45.685031
-50.0,50,45.806266
-50.0,50,45.926865
-50.0,50,46.079179
-50.0,50,46.9166
-50.0,50,47.80238
-50.0,50,48.683777
-50.0,50,49.659703
-50.0,50,50.565023
-50.0,50,51.50856
-50.0,50,52.405219
-50.0,50,53.295114
-50.0,50,54.196871
-50.0,50,55.156292
-50.0,50,56.059378
-50.0,50,56.972868
-50.0,50,57.92875
-50.0,50,58.842888
-50.0,50,59.811457
-50.0,50,60.764089
-50.0,50,61.693987
-50.0,50,62.580331
-50.0,50,63.448348
-50.0,50,64.328264
-50.0,50,65.31461
-50.0,50,66.251331
-50.0,50,67.168225
-50.0,50,68.164994
-50.0,50,69.096856
-50.0,50,70.113021
-50.0,50,71.05894
-50.0,50,72.005692
-50.0,50,72.976367
-50.0,50,73.922889
-50.0,50,74.867766
-50.0,50,75.813406
-50.0,50,76.762988
-50.0,50,77.711068
-50.0,50,78.661216
-50.0,50,79.606168
-50.0,50,80.558013
-50.0,50,81.534165
-50.0,50,82.491286
-50.0,50,83.481654
-50.0,50,84.482304
-50.0,50,85.470929
0,50,86.515981
-50.0,50,87.474889
-50.0,50,88.454087
-50.0,50,89.428711
-50.0,50,90.408235
-50.0,50,91.416585
-50.0,50,92.425811
-50.0,50,93.471438
-50.0,50,93.601385
-50.0,50,93.721707
-50.0,50,93.835542
-50.0,50,93.951098
-50.0,50,94.074099
-50.0,50,94.186282
-50.0,50,94.306799
-50.0,50,94.423623
0,50,94.534913
-50.0,50,94.648418
-50.0,50,95.741573
-50.0,50,96.792242
-50.0,50,97.814535
-50.0,50,98.845721
-50.0,50,99.836342
-50.0,50,100.941944
-50.0,50,101.989987
-50.0,50,103.044124
-50.0,50,104.099244
-50.0,50,105.138162
-50.0,50,106.18631
-50.0,50,107.317396
-50.0,50,108.51734
-50.0,50,109.570422
-50.0,50,110.735063
-50.0,50,112.046126
-50.0,50,113.207264
-50.0,50,114.359316
-50.0,50,115.510338
