epoch,p0/stats_g/mean,p0/stats_g/std,p0/stats_o/mean,p0/stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,0.8484362,0.09528547,0.2040492,0.054810233,10.0,-2.237265,0.1,50.0,0.04
1,0.8436427,0.09337178,0.20307209,0.05100666,20.0,-4.5613976,0.1,100.0,0.02
2,0.84386665,0.09276638,0.20316745,0.04782282,30.0,-5.2496986,0.1,150.0,0.04
3,0.8441653,0.09166727,0.20262916,0.05129072,40.0,-8.407007,0.0,200.0,0.02
4,0.84369034,0.093626656,0.20254537,0.058014225,50.0,-10.19914,0.0,250.0,0.04
5,0.8443976,0.095178045,0.20319687,0.059511002,60.0,-9.316637,0.1,300.0,0.02
6,0.8472438,0.09554818,0.20392881,0.061076175,70.0,-12.255189,0.1,350.0,0.04
7,0.8480506,0.09532404,0.20434245,0.06077782,80.0,-15.621019,0.0,400.0,0.04
8,0.8471822,0.09679884,0.2041464,0.06263744,90.0,-13.708789,0.2,450.0,0.02
9,0.84802437,0.09682994,0.20445682,0.06257285,100.0,-17.910582,0.0,500.0,0.06
10,0.8473275,0.09671942,0.2044587,0.06301618,110.0,-19.085896,0.0,550.0,0.04
11,0.84735227,0.09793443,0.20440307,0.064407274,120.0,-15.121485,0.0,600.0,0.02
12,0.8469437,0.09855042,0.20415138,0.06740678,130.0,-14.380048,0.2,650.0,0.08
13,0.8471034,0.098378785,0.20420903,0.06672854,140.0,-20.82703,0.0,700.0,0.04
14,0.8466285,0.09908683,0.20373884,0.06945851,150.0,-20.961674,0.0,750.0,0.04
15,0.84609467,0.10141316,0.20358256,0.07155392,160.0,-20.771246,0.1,800.0,0.1
16,0.845784,0.10120601,0.20351969,0.07287702,170.0,-19.802668,0.0,850.0,0.02
17,0.8451803,0.10160049,0.2033216,0.07325218,180.0,-23.898628,0.0,900.0,0.02
18,0.8443267,0.10282329,0.20323536,0.07306085,190.0,-25.625814,0.0,950.0,0.04
19,0.84484226,0.10326784,0.20354974,0.073216714,200.0,-20.122692,0.1,1000.0,0.1
20,0.8451283,0.1028277,0.20365646,0.07353345,210.0,-24.834227,0.0,1050.0,0.1
21,0.8445776,0.1031333,0.20363453,0.07395282,220.0,-21.904263,0.2,1100.0,0.06
22,0.8444695,0.103772454,0.20367031,0.074767336,230.0,-21.794111,0.2,1150.0,0.08
23,0.84438294,0.103535034,0.20372798,0.07466422,240.0,-28.04068,0.1,1200.0,0.1
24,0.84433335,0.10377783,0.20364188,0.074457675,250.0,-23.169235,0.1,1250.0,0.02
25,0.8442168,0.10369575,0.2036115,0.07435433,260.0,-22.821754,0.1,1300.0,0.0
26,0.8444502,0.103904344,0.20354216,0.074812785,270.0,-31.126484,0.0,1350.0,0.06
27,0.84432334,0.1037347,0.20344277,0.074953444,280.0,-20.123959,0.0,1400.0,0.06
28,0.84450334,0.10349802,0.20352855,0.07562127,290.0,-30.168377,0.0,1450.0,0.04
29,0.84434867,0.10352362,0.20355551,0.07609601,300.0,-25.401741,0.0,1500.0,0.04
30,0.84405965,0.10349188,0.20348363,0.07743451,310.0,-29.32631,0.0,1550.0,0.0
31,0.84405357,0.1037333,0.20365931,0.07858371,320.0,-32.318214,0.0,1600.0,0.0
32,0.8443518,0.10374981,0.20363155,0.07839108,330.0,-24.945175,0.0,1650.0,0.02
33,0.8443613,0.1040318,0.20359862,0.079193175,340.0,-31.053574,0.0,1700.0,0.04
