# {"t_start": 1580790138.2806349, "env_id": "FetchPickAndPlace-v1"} 
r,l,t
-50.0,50,3.847911
-50.0,50,5.439864
-50.0,50,6.966933
-50.0,50,8.40728
-50.0,50,10.071731
-50.0,50,11.847599
-50.0,50,13.559041
-50.0,50,15.199081
-50.0,50,17.0101
-50.0,50,18.752288
-50.0,50,20.492959
-50.0,50,22.262595
-50.0,50,23.974361
-38.0,50,25.696717
-50.0,50,27.417867
-50.0,50,29.099236
-50.0,50,31.020381
-50.0,50,32.740722
-50.0,50,34.460183
-50.0,50,36.211616
-50.0,50,37.986694
-50.0,50,38.185052
-50.0,50,38.377697
-50.0,50,38.607451
-50.0,50,38.808225
-50.0,50,39.050455
-50.0,50,39.264924
-50.0,50,39.461909
-50.0,50,39.668159
-50.0,50,39.872658
-50.0,50,40.148614
-50.0,50,41.940568
-50.0,50,43.740805
-50.0,50,45.528379
-38.0,50,47.335635
-50.0,50,49.140762
-50.0,50,50.934011
-50.0,50,52.785599
-50.0,50,54.599929
-50.0,50,56.49199
-50.0,50,58.302378
-50.0,50,60.149575
-50.0,50,61.965776
-50.0,50,63.858409
-50.0,50,65.721208
-50.0,50,67.556309
-50.0,50,69.3702
-50.0,50,71.211528
-50.0,50,73.075678
-50.0,50,74.919274
-50.0,50,76.821827
-50.0,50,77.027828
-50.0,50,77.230541
-50.0,50,77.463969
-50.0,50,77.680685
-50.0,50,77.8806
-50.0,50,78.087633
0,50,78.283645
-50.0,50,78.522245
-50.0,50,78.74273
-50.0,50,78.960442
-50.0,50,80.855875
-34.0,50,82.71638
-50.0,50,84.638651
-50.0,50,86.530671
-50.0,50,88.399708
-50.0,50,90.323146
-50.0,50,92.182676
-50.0,50,94.015617
-50.0,50,95.936733
-50.0,50,97.810498
-50.0,50,99.737319
-50.0,50,101.673858
-50.0,50,103.691502
-50.0,50,105.653928
-50.0,50,107.614175
-50.0,50,109.553386
-50.0,50,111.54023
-50.0,50,113.530912
-50.0,50,115.574107
-50.0,50,117.602654
-50.0,50,117.813155
-50.0,50,118.018811
-50.0,50,118.242542
-50.0,50,118.471766
-50.0,50,118.692012
-50.0,50,118.896421
-50.0,50,119.099615
-50.0,50,119.306115
-50.0,50,119.51347
-50.0,50,119.714772
-50.0,50,121.72823
-50.0,50,123.710284
-50.0,50,125.721495
-50.0,50,127.725538
-50.0,50,129.663756
-50.0,50,131.702686
-50.0,50,133.712411
-50.0,50,135.797606
-50.0,50,137.846024
-50.0,50,139.913247
-50.0,50,141.904698
-50.0,50,143.918519
-50.0,50,145.967512
-50.0,50,147.977532
-50.0,50,150.138353
-50.0,50,152.143721
-50.0,50,154.235851
-50.0,50,156.258508
-50.0,50,158.461301
-50.0,50,160.453022
-50.0,50,160.650826
