# {"t_start": 1580790036.894586, "env_id": "FetchPickAndPlace-v1"} 
r,l,t
0,50,2.937621
-50.0,50,4.001596
-7.0,50,4.90033
-39.0,50,5.789115
-5.0,50,6.659205
-50.0,50,7.516476
-50.0,50,8.36599
-50.0,50,9.216056
-41.0,50,10.053972
-50.0,50,10.913676
-50.0,50,11.76309
-50.0,50,12.633456
-50.0,50,13.488354
-50.0,50,14.384478
-50.0,50,15.287859
-50.0,50,16.201885
-50.0,50,17.106003
-50.0,50,18.008886
-50.0,50,18.916663
-50.0,50,19.77476
-50.0,50,20.662189
-50.0,50,20.802494
-50.0,50,20.930667
-50.0,50,21.062619
-50.0,50,21.178949
-50.0,50,21.306316
-50.0,50,21.424998
-50.0,50,21.553766
-50.0,50,21.686263
-50.0,50,21.811812
-50.0,50,21.977326
-50.0,50,22.861062
-50.0,50,23.741899
-50.0,50,24.630776
-50.0,50,25.485592
-50.0,50,26.344607
-50.0,50,27.204182
-36.0,50,28.051076
-50.0,50,28.926443
-50.0,50,29.789096
-50.0,50,30.671482
-50.0,50,31.604045
-50.0,50,32.522621
-50.0,50,33.434819
-50.0,50,34.303647
-50.0,50,35.179426
-50.0,50,36.062656
-50.0,50,36.96227
-50.0,50,37.859283
-50.0,50,38.760581
-50.0,50,39.636758
-50.0,50,39.762578
-50.0,50,39.885301
-50.0,50,39.996811
-32.0,50,40.123716
-50.0,50,40.245422
-50.0,50,40.371799
-50.0,50,40.515939
-6.0,50,40.666836
-15.0,50,40.813192
-50.0,50,40.936678
-50.0,50,41.892141
-50.0,50,42.789056
-50.0,50,43.667491
-50.0,50,44.597155
-50.0,50,45.645452
-50.0,50,46.753554
-50.0,50,47.82595
-50.0,50,48.879626
-50.0,50,49.949757
-50.0,50,50.969001
-50.0,50,51.989787
-50.0,50,52.876813
-50.0,50,53.80157
-50.0,50,54.699525
-50.0,50,55.621186
-50.0,50,56.590256
-50.0,50,57.566517
-50.0,50,58.582135
-50.0,50,59.600553
-50.0,50,60.619206
-24.0,50,60.764935
-50.0,50,60.919666
-50.0,50,61.065763
-50.0,50,61.213853
-50.0,50,61.357765
-50.0,50,61.515948
-50.0,50,61.659607
-50.0,50,61.806188
