epoch,p0/stats_g/mean,p0/stats_g/std,p0/stats_o/mean,p0/stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,0.86133796,0.101812005,0.20630102,0.060606305,10.0,-2.0725405,0.0,20.0,0.2
1,0.8609869,0.10253308,0.20724043,0.066419944,20.0,-2.5363004,0.3,40.0,0.05
2,0.8601021,0.102464974,0.20776933,0.06747846,30.0,-3.3164546,0.1,60.0,0.0
3,0.85783607,0.10216542,0.20688185,0.06972983,40.0,-3.8628578,0.3,80.0,0.0
4,0.8572112,0.10478141,0.20712973,0.07287266,50.0,-4.2053194,0.4,100.0,0.1
5,0.8555362,0.10532012,0.20707232,0.07495576,60.0,-4.726194,0.5,120.0,0.15
6,0.8557785,0.10448927,0.20728958,0.07489976,70.0,-4.2528715,0.6,140.0,0.1
7,0.8552391,0.10378906,0.2073522,0.07397957,80.0,-5.694569,0.5,160.0,0.05
8,0.8537,0.10342306,0.20698304,0.07544345,90.0,-5.6533623,0.4,180.0,0.1
9,0.8536584,0.10414475,0.2072467,0.07725342,100.0,-7.703575,0.0,200.0,0.0
10,0.85281926,0.10363933,0.2066753,0.07648613,110.0,-9.353615,0.1,220.0,0.0
11,0.85233825,0.10289725,0.2069275,0.07598506,120.0,-9.553428,0.0,240.0,0.05
12,0.851378,0.10377822,0.20634633,0.07915729,130.0,-6.8289475,0.3,260.0,0.05
13,0.85081196,0.10352975,0.20534493,0.08260564,140.0,-9.74653,0.1,280.0,0.05
14,0.8507014,0.10553548,0.20522466,0.0856913,150.0,-8.500578,0.4,300.0,0.0
15,0.85065347,0.10557455,0.20529434,0.087055065,160.0,-8.227926,0.3,320.0,0.0
16,0.8505519,0.109196015,0.20584804,0.08883649,170.0,-6.666082,0.7,340.0,0.0
17,0.8509254,0.10978925,0.205091,0.09153482,180.0,-8.211922,0.4,360.0,0.05
18,0.8510874,0.11380142,0.2050881,0.09413062,190.0,-9.598726,0.2,380.0,0.0
19,0.85148907,0.114305556,0.20497628,0.09480888,200.0,-7.6274705,0.4,400.0,0.0
20,0.85177225,0.11637839,0.2050105,0.09610647,210.0,-10.467135,0.4,420.0,0.05
21,0.8516419,0.11765468,0.20503378,0.09706976,220.0,-7.5323296,0.5,440.0,0.05
22,0.8507727,0.11905056,0.2051268,0.09943159,230.0,-8.990416,0.3,460.0,0.15
23,0.85018635,0.11883984,0.20539203,0.10068058,240.0,-9.163488,0.5,480.0,0.05
24,0.8503475,0.11875292,0.20558754,0.101737805,250.0,-9.422685,0.3,500.0,0.25
25,0.84999746,0.11853162,0.20541924,0.10351231,260.0,-12.241824,0.3,520.0,0.15
26,0.84935075,0.119236074,0.20555782,0.10496283,270.0,-5.527933,0.4,540.0,0.1
27,0.8493159,0.1182403,0.2058139,0.10592684,280.0,-9.651222,0.6,560.0,0.15
28,0.8493371,0.11780337,0.20594122,0.10596303,290.0,-9.519954,0.4,580.0,0.15
29,0.8497117,0.11940843,0.20616278,0.10736049,300.0,-5.7181377,0.7,600.0,0.15
30,0.8490636,0.11949798,0.20604122,0.10725121,310.0,-6.62296,0.6,620.0,0.25
31,0.84863925,0.11893984,0.20596676,0.10804746,320.0,-7.8242936,0.5,640.0,0.25
32,0.84882116,0.119094335,0.20646694,0.10915977,330.0,-8.907477,0.3,660.0,0.15
33,0.8487274,0.12137562,0.20647003,0.111024186,340.0,-7.352395,0.5,680.0,0.15
34,0.84872466,0.121109396,0.20659582,0.111883365,350.0,-6.552272,0.7,700.0,0.3
35,0.8488547,0.12106773,0.20649822,0.11229489,360.0,-9.775515,0.4,720.0,0.15
36,0.84877735,0.121610045,0.20659672,0.11374719,370.0,-6.0431447,0.7,740.0,0.15
37,0.8486118,0.12184924,0.20679684,0.114707835,380.0,-6.249528,0.8,760.0,0.15
38,0.84815806,0.121798374,0.20676628,0.11593866,390.0,-6.57524,0.5,780.0,0.25
39,0.84806794,0.1220893,0.20659107,0.117353946,400.0,-8.205222,0.5,800.0,0.2
40,0.8479142,0.12218961,0.20687559,0.11869476,410.0,-5.0376263,0.8,820.0,0.4
41,0.8477705,0.1221993,0.20671779,0.119060844,420.0,-5.583501,0.7,840.0,0.35
42,0.8475549,0.12323808,0.20657438,0.120144755,430.0,-5.7703238,0.5,860.0,0.35
43,0.8477771,0.123597674,0.2068092,0.12101705,440.0,-5.182978,0.8,880.0,0.25
44,0.8473336,0.12391081,0.20667705,0.12135406,450.0,-3.7098956,0.8,900.0,0.35
45,0.84738666,0.123874314,0.20678103,0.12149304,460.0,-3.4454784,0.9,920.0,0.15
46,0.84745866,0.12397752,0.20678364,0.12214804,470.0,-5.1897755,0.7,940.0,0.2
47,0.8474068,0.12400054,0.20660774,0.12244673,480.0,-3.0983417,0.8,960.0,0.35
48,0.847564,0.1234672,0.2063945,0.12239365,490.0,-4.5953107,0.7,980.0,0.45
49,0.848192,0.12368739,0.20658077,0.1229153,500.0,-4.022067,0.8,1000.0,0.3
50,0.84792787,0.1246373,0.20668669,0.12345116,510.0,-4.2129426,0.9,1020.0,0.5
51,0.8477854,0.12524809,0.20658958,0.12432363,520.0,-2.9808712,0.7,1040.0,0.25
52,0.84775275,0.12501858,0.20619918,0.12462347,530.0,-5.148788,0.7,1060.0,0.3
53,0.8478515,0.12516232,0.20628506,0.124922015,540.0,-8.351665,0.7,1080.0,0.35
54,0.84797645,0.12510464,0.20620756,0.12537979,550.0,-8.639342,0.6,1100.0,0.3
55,0.84778446,0.12527315,0.20635208,0.12572055,560.0,-4.3893785,0.6,1120.0,0.55
56,0.84795684,0.1254852,0.20642056,0.12570335,570.0,-3.8852093,0.9,1140.0,0.6
57,0.84785444,0.12541097,0.20667467,0.12554884,580.0,-4.1897798,0.7,1160.0,0.6
58,0.8479123,0.1251545,0.20651649,0.12569894,590.0,-3.9194915,0.8,1180.0,0.5
59,0.848146,0.124839775,0.20661145,0.1256588,600.0,-4.345748,0.6,1200.0,0.65
60,0.84826833,0.12454132,0.20649984,0.12598315,610.0,-2.536712,0.8,1220.0,0.6
61,0.84881467,0.12481298,0.20680441,0.12631498,620.0,-3.1364932,0.7,1240.0,0.4
62,0.84893304,0.12503617,0.20683345,0.12654622,630.0,-3.35844,0.8,1260.0,0.25
63,0.8493603,0.12543081,0.20707582,0.1267231,640.0,-4.7664695,0.7,1280.0,0.4
64,0.849231,0.12504376,0.20703948,0.12661126,650.0,-5.0506988,0.5,1300.0,0.6
65,0.84975284,0.12498149,0.20720726,0.12665646,660.0,-4.4366975,0.9,1320.0,0.4
66,0.84997296,0.124678455,0.20721062,0.1265598,670.0,-5.563833,0.6,1340.0,0.45
67,0.84993523,0.124741174,0.20736232,0.12706916,680.0,-6.360788,0.5,1360.0,0.4
68,0.8500557,0.12466476,0.20749946,0.12722132,690.0,-4.7064037,0.5,1380.0,0.55
69,0.8499053,0.12534161,0.20748518,0.12747352,700.0,-2.2405896,0.9,1400.0,0.4
70,0.85022825,0.12527342,0.20751914,0.12717742,710.0,-2.7323904,0.8,1420.0,0.45
71,0.850288,0.12544246,0.20764394,0.1273474,720.0,-3.5228844,0.6,1440.0,0.6
72,0.8506012,0.12537009,0.20768209,0.1270306,730.0,-6.5681596,0.6,1460.0,0.5
73,0.8508909,0.12559226,0.20781535,0.12717041,740.0,-7.5859804,0.7,1480.0,0.65
74,0.85105354,0.12652747,0.20783818,0.12740272,750.0,-8.928619,0.6,1500.0,0.5
75,0.85114104,0.12659377,0.20772657,0.12728885,760.0,-1.9832785,1.0,1520.0,0.55
76,0.8514238,0.12649237,0.20775162,0.12734705,770.0,-4.9668345,0.7,1540.0,0.55
77,0.85143876,0.12618871,0.2077638,0.12697858,780.0,-7.393247,0.6,1560.0,0.75
78,0.85139984,0.12628669,0.20766701,0.12681724,790.0,-2.459441,0.8,1580.0,0.4
79,0.85135055,0.12596783,0.20753555,0.12661485,800.0,-2.9003403,0.8,1600.0,0.7
80,0.85169506,0.1258263,0.20764813,0.12636492,810.0,-4.31716,0.7,1620.0,0.55
81,0.8518037,0.12559159,0.20794189,0.12635905,820.0,-3.9782043,0.7,1640.0,0.5
82,0.85183746,0.12531495,0.20790496,0.12607364,830.0,-5.7089734,0.8,1660.0,0.7
83,0.8519933,0.12517191,0.2081131,0.12612008,840.0,-2.6465569,1.0,1680.0,0.5
84,0.852138,0.12565379,0.20817357,0.12629382,850.0,-8.442766,0.7,1700.0,0.35
85,0.8523207,0.12565933,0.20804453,0.1263883,860.0,-2.3389277,0.9,1720.0,0.8
86,0.8522356,0.12569283,0.20798439,0.1264688,870.0,-4.5398555,0.8,1740.0,0.4
87,0.8521661,0.1256826,0.20804363,0.12661687,880.0,-6.535228,0.8,1760.0,0.5
88,0.85200804,0.12537737,0.208063,0.12642564,890.0,-4.455759,0.7,1780.0,0.6
89,0.85206056,0.1254582,0.20803083,0.12636325,900.0,-4.486127,0.9,1800.0,0.4
90,0.851907,0.12565549,0.20789704,0.12660913,910.0,-1.7915112,0.9,1820.0,0.5
91,0.8519303,0.12538022,0.20787859,0.12655853,920.0,-2.395965,0.8,1840.0,0.45
92,0.8521183,0.12535934,0.20786831,0.12656797,930.0,-3.3006425,0.9,1860.0,0.45
93,0.8520208,0.12506856,0.20789042,0.1264211,940.0,-7.075947,0.5,1880.0,0.7
94,0.8518056,0.12507986,0.20785198,0.12616722,950.0,-7.0236664,0.7,1900.0,0.65
95,0.8519421,0.1251549,0.20791462,0.12618063,960.0,-2.7709022,0.9,1920.0,0.35
96,0.8519332,0.124890804,0.20791286,0.12602904,970.0,-6.26723,0.8,1940.0,0.65
97,0.85212845,0.12482675,0.20803048,0.12592842,980.0,-4.5908194,0.6,1960.0,0.5
98,0.85214764,0.1245979,0.2079145,0.12575631,990.0,-1.9707308,1.0,1980.0,0.65
99,0.8523783,0.12449231,0.20791286,0.12552276,1000.0,-4.0300107,0.8,2000.0,0.55
100,0.85250264,0.12452841,0.20790108,0.12538265,1010.0,-5.0567603,0.8,2020.0,0.55
101,0.8523416,0.12498611,0.20786774,0.12533176,1020.0,-2.235968,0.9,2040.0,0.5
102,0.85232514,0.12470462,0.20776853,0.12517948,1030.0,-3.2677093,0.8,2060.0,0.75
103,0.85230494,0.124908864,0.20776102,0.12520932,1040.0,-2.0373216,0.8,2080.0,0.45
104,0.85207695,0.12484137,0.2077191,0.12514098,1050.0,-2.377051,1.0,2100.0,0.65
105,0.85219365,0.12521583,0.20766805,0.12530977,1060.0,-2.5249665,0.9,2120.0,0.65
106,0.85232997,0.1254644,0.20758954,0.12527874,1070.0,-1.6314785,0.9,2140.0,0.7
107,0.852341,0.12541462,0.20754173,0.12514953,1080.0,-6.158928,0.6,2160.0,0.6
108,0.85239977,0.1251766,0.20761648,0.12502296,1090.0,-4.625071,0.8,2180.0,0.8
109,0.8526798,0.12528062,0.20764238,0.12505858,1100.0,-1.4914196,0.8,2200.0,0.55
110,0.8526499,0.12518597,0.20762973,0.12517256,1110.0,-5.632805,0.7,2220.0,0.5
111,0.85276127,0.12511162,0.2077018,0.12507659,1120.0,-2.326819,0.9,2240.0,0.6
112,0.85274225,0.12510096,0.20772098,0.12511922,1130.0,-3.02653,0.8,2260.0,0.6
113,0.85256976,0.12508747,0.2079084,0.12512116,1140.0,-1.6354443,1.0,2280.0,0.6
114,0.85270685,0.12492994,0.20800848,0.12493872,1150.0,-2.5223324,0.9,2300.0,0.6
115,0.85274553,0.124814115,0.2080453,0.124890134,1160.0,-2.8446846,0.7,2320.0,0.65
116,0.85279655,0.12476787,0.20795366,0.12490011,1170.0,-4.972013,0.8,2340.0,0.55
117,0.8527368,0.12506245,0.20794623,0.12506126,1180.0,-1.9681146,0.9,2360.0,0.4
118,0.85288984,0.1250024,0.20796597,0.12505567,1190.0,-1.497232,1.0,2380.0,0.5
119,0.85307115,0.12487153,0.20805988,0.12483345,1200.0,-6.0285053,0.7,2400.0,0.65
120,0.85312575,0.12496083,0.20807394,0.12476365,1210.0,-2.0054984,0.9,2420.0,0.6
121,0.8531236,0.1248394,0.20792991,0.12474373,1220.0,-5.4337144,0.7,2440.0,0.6
122,0.85315055,0.124830425,0.20798118,0.12484843,1230.0,-1.9629253,0.9,2460.0,0.75
123,0.85337335,0.12469796,0.20820555,0.12481495,1240.0,-4.822317,0.8,2480.0,0.65
124,0.85341924,0.12479482,0.20816693,0.124772206,1250.0,-3.7044148,0.8,2500.0,0.4
125,0.85347694,0.12478285,0.20810725,0.12484233,1260.0,-5.1880937,0.9,2520.0,0.5
126,0.8535138,0.12473935,0.20810488,0.12466321,1270.0,-1.5997531,1.0,2540.0,0.65
127,0.8534274,0.12472095,0.20816232,0.12470512,1280.0,-3.1762657,0.8,2560.0,0.6
128,0.85354537,0.1250537,0.20815615,0.12481005,1290.0,-7.5096,0.8,2580.0,0.45
129,0.85362476,0.1250976,0.20809859,0.12469289,1300.0,-2.0295835,1.0,2600.0,0.6
130,0.8536983,0.12500246,0.20802327,0.12453995,1310.0,-1.6855648,0.9,2620.0,0.5
131,0.85371834,0.12500215,0.2080818,0.12441159,1320.0,-2.444193,0.7,2640.0,0.55
132,0.85387415,0.12515274,0.20809308,0.12448261,1330.0,-2.9110577,0.9,2660.0,0.4
133,0.8539965,0.12502073,0.20811138,0.12428353,1340.0,-4.3491926,0.7,2680.0,0.6
134,0.85417217,0.124955155,0.20817068,0.1240858,1350.0,-4.6412377,0.9,2700.0,0.6
135,0.8541071,0.12510616,0.20813337,0.12431755,1360.0,-6.1073785,0.8,2720.0,0.45
136,0.8542228,0.125206,0.2082373,0.12436111,1370.0,-1.7467682,1.0,2740.0,0.5
137,0.8542972,0.12524065,0.20818123,0.12426669,1380.0,-1.5050521,1.0,2760.0,0.6
138,0.8544498,0.1252224,0.20820801,0.124276526,1390.0,-2.8443472,0.9,2780.0,0.55
139,0.85437065,0.12502195,0.20813063,0.124046475,1400.0,-4.9348435,0.8,2800.0,0.75
140,0.8543734,0.12529533,0.20808478,0.12405451,1410.0,-2.4057567,0.9,2820.0,0.7
141,0.8544815,0.12523636,0.20807745,0.12394043,1420.0,-2.3559253,0.8,2840.0,0.55
142,0.8545642,0.12508963,0.2080394,0.12387422,1430.0,-1.3004165,1.0,2860.0,0.6
143,0.85474294,0.12492055,0.20799024,0.12378461,1440.0,-1.6704916,0.9,2880.0,0.5
144,0.8548703,0.124719165,0.2080326,0.123698846,1450.0,-1.9422579,1.0,2900.0,0.75
145,0.85498077,0.12457862,0.20804317,0.123465575,1460.0,-2.1528842,1.0,2920.0,0.8
146,0.8550508,0.12452733,0.2079734,0.123349935,1470.0,-3.8640447,0.8,2940.0,0.65
147,0.8551116,0.12448562,0.2079426,0.12319299,1480.0,-2.1001124,0.9,2960.0,0.6
148,0.855292,0.12480807,0.20805591,0.12328348,1490.0,-3.468134,0.9,2980.0,0.45
149,0.85521865,0.12480881,0.20810619,0.12333915,1500.0,-7.7513933,0.8,3000.0,0.65
