# {"t_start": 1580790097.5367734, "env_id": "FetchPickAndPlace-v1"} 
r,l,t
-50.0,50,3.272005
-50.0,50,4.706579
-50.0,50,6.045548
-50.0,50,7.343013
-50.0,50,8.614792
-50.0,50,9.867977
-50.0,50,11.204213
-50.0,50,12.497991
-50.0,50,13.828633
-50.0,50,15.208066
-50.0,50,16.614676
-50.0,50,18.048043
-50.0,50,19.286072
-50.0,50,20.67533
-50.0,50,21.98282
-50.0,50,23.284986
-50.0,50,24.541697
-50.0,50,25.866306
-50.0,50,27.163704
-50.0,50,28.504185
-50.0,50,29.977466
-50.0,50,30.146615
-50.0,50,30.330498
-50.0,50,30.491296
-50.0,50,30.662017
-50.0,50,30.815237
-50.0,50,30.985672
0,50,31.162954
-50.0,50,31.320912
-50.0,50,31.49665
-50.0,50,31.717906
-50.0,50,33.150906
-50.0,50,34.569546
-50.0,50,35.935833
-50.0,50,37.429137
-50.0,50,38.968992
-29.0,50,40.384844
-50.0,50,41.865233
-50.0,50,43.466357
-50.0,50,45.078482
-50.0,50,46.58918
-50.0,50,48.222132
-50.0,50,49.887636
-50.0,50,51.741889
-50.0,50,53.632525
-50.0,50,55.390232
-50.0,50,57.406622
-50.0,50,59.238166
-31.0,50,61.07139
-50.0,50,62.894427
-50.0,50,64.761197
-50.0,50,64.980007
-50.0,50,65.202207
-50.0,50,65.434021
-50.0,50,65.664766
-50.0,50,65.875541
-50.0,50,66.104961
-50.0,50,66.31448
-50.0,50,66.516335
-46.0,50,66.743573
-50.0,50,66.969155
-50.0,50,68.860806
-50.0,50,70.786616
-50.0,50,72.649959
-50.0,50,74.528233
-50.0,50,76.347265
-50.0,50,78.152427
0,50,80.081442
-50.0,50,81.984721
-50.0,50,83.882707
-50.0,50,85.818572
-50.0,50,87.691047
-50.0,50,89.683958
-50.0,50,91.606123
-50.0,50,93.573992
-50.0,50,95.535104
-22.0,50,97.519928
-50.0,50,99.451732
-50.0,50,101.402995
-50.0,50,103.369526
-50.0,50,105.370171
-50.0,50,105.595748
-50.0,50,105.833084
-50.0,50,106.063067
-50.0,50,106.28393
-29.0,50,106.489435
-50.0,50,106.711457
-50.0,50,106.924988
-50.0,50,107.14314
-50.0,50,107.358659
-50.0,50,107.573792
-33.0,50,109.517442
-50.0,50,111.459487
-50.0,50,113.395734
-50.0,50,115.388849
-50.0,50,117.440601
-50.0,50,119.375259
-50.0,50,121.392229
-50.0,50,123.375152
-50.0,50,125.355922
-50.0,50,127.311713
-50.0,50,129.296417
-50.0,50,131.280097
-50.0,50,133.226444
-50.0,50,135.178395
-50.0,50,137.176613
-50.0,50,139.10929
-50.0,50,141.121344
-50.0,50,143.186045
-50.0,50,145.290405
-50.0,50,147.320636
-50.0,50,147.539905
-50.0,50,147.748258
-50.0,50,147.963996
-50.0,50,148.19642
-50.0,50,148.393997
-50.0,50,148.607927
-50.0,50,148.838523
-50.0,50,149.051795
-50.0,50,149.285594
-50.0,50,149.526794
-50.0,50,151.620029
-50.0,50,153.645049
0,50,155.690902
-50.0,50,157.79471
-50.0,50,159.8563
-50.0,50,161.923187
-50.0,50,163.952804
-50.0,50,166.064787
-50.0,50,168.14979
-50.0,50,170.21228
-50.0,50,172.37832
-50.0,50,174.446032
-50.0,50,176.562135
-50.0,50,178.700978
-50.0,50,180.857642
-50.0,50,182.957483
-50.0,50,185.035059
-48.0,50,187.211164
-50.0,50,189.316234
-50.0,50,191.555722
-50.0,50,191.763876
-50.0,50,191.965781
-50.0,50,192.177886
-30.0,50,192.40575
-50.0,50,192.628355
-50.0,50,192.846503
-50.0,50,193.079362
