epoch,p0/stats_g/mean,p0/stats_g/std,p0/stats_o/mean,p0/stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,0.8626949,0.101967335,0.20685726,0.0346594,10.0,-1.7325366,0.1,20.0,0.0
1,0.8598719,0.10321782,0.20575437,0.047158156,20.0,-2.4872708,0.1,40.0,0.0
2,0.85812694,0.10278994,0.204492,0.056712095,30.0,-3.0336895,0.1,60.0,0.05
3,0.8565607,0.102082215,0.20414467,0.056596413,40.0,-4.283511,0.0,80.0,0.05
4,0.8547539,0.10299996,0.20343721,0.065181874,50.0,-4.1597366,0.1,100.0,0.05
5,0.8530081,0.10261354,0.20336176,0.066317044,60.0,-5.249768,0.0,120.0,0.0
6,0.85158366,0.10183784,0.20326643,0.06615928,70.0,-6.3405886,0.0,140.0,0.0
7,0.8510515,0.103217565,0.20396037,0.07001057,80.0,-6.228022,0.1,160.0,0.0
8,0.85059816,0.10307179,0.20405039,0.06953497,90.0,-6.7913246,0.2,180.0,0.1
9,0.8492989,0.1033636,0.20381777,0.07170942,100.0,-6.4047556,0.3,200.0,0.0
10,0.8479634,0.10271305,0.20377049,0.07230645,110.0,-6.821955,0.2,220.0,0.1
11,0.8473563,0.10212153,0.203635,0.07169056,120.0,-8.626127,0.1,240.0,0.05
12,0.84746426,0.10185883,0.20383343,0.07254908,130.0,-8.945903,0.1,260.0,0.05
13,0.8477127,0.10114629,0.20417164,0.07194212,140.0,-7.6206985,0.3,280.0,0.0
14,0.8477543,0.100782454,0.20433626,0.07181376,150.0,-7.632281,0.4,300.0,0.0
15,0.8478574,0.10072619,0.20498791,0.073367424,160.0,-9.6004305,0.2,320.0,0.0
16,0.84737164,0.10084506,0.20529842,0.07768932,170.0,-8.916807,0.4,340.0,0.1
17,0.8476402,0.10094067,0.20515236,0.078145035,180.0,-8.706429,0.2,360.0,0.0
18,0.84761494,0.10082793,0.20503369,0.078198165,190.0,-12.291475,0.1,380.0,0.1
19,0.84684676,0.10161344,0.20450328,0.079551265,200.0,-10.675348,0.1,400.0,0.0
20,0.84600717,0.103711195,0.20500635,0.08409935,210.0,-10.891001,0.3,420.0,0.1
21,0.84570074,0.10430702,0.204786,0.08505545,220.0,-7.559603,0.6,440.0,0.05
22,0.84556526,0.104542546,0.20502134,0.08545002,230.0,-9.065894,0.4,460.0,0.0
23,0.84564805,0.10532367,0.20487505,0.08662018,240.0,-8.394022,0.3,480.0,0.05
24,0.84594274,0.10541573,0.20475556,0.086585924,250.0,-10.821536,0.3,500.0,0.0
25,0.8458968,0.106572725,0.20495306,0.08792843,260.0,-12.572485,0.3,520.0,0.05
26,0.845671,0.10748249,0.20493692,0.08955968,270.0,-7.8930407,0.6,540.0,0.05
27,0.8452785,0.10927746,0.20502351,0.09067711,280.0,-12.236283,0.2,560.0,0.0
28,0.8453596,0.10948652,0.20526157,0.0921042,290.0,-10.748578,0.5,580.0,0.05
29,0.8450201,0.109074764,0.20493668,0.09277415,300.0,-8.298754,0.7,600.0,0.1
30,0.84501797,0.10865808,0.20502463,0.09301683,310.0,-10.844416,0.4,620.0,0.0
31,0.84497494,0.10854534,0.20530522,0.0929826,320.0,-10.046632,0.6,640.0,0.0
32,0.8448556,0.10819429,0.20514566,0.09366519,330.0,-10.933287,0.5,660.0,0.0
33,0.84471947,0.10788643,0.2051769,0.09393759,340.0,-8.193707,0.5,680.0,0.15
34,0.84459925,0.1098874,0.20533437,0.09670117,350.0,-11.578186,0.4,700.0,0.05
35,0.84418255,0.11139477,0.20556927,0.09842864,360.0,-10.249036,0.3,720.0,0.0
36,0.8440359,0.11266011,0.20547181,0.09959758,370.0,-9.504123,0.6,740.0,0.05
37,0.8433363,0.11447871,0.20548671,0.10113515,380.0,-15.583572,0.1,760.0,0.0
38,0.8433389,0.11503049,0.20534176,0.10147634,390.0,-15.459607,0.1,780.0,0.05
39,0.84294933,0.116080046,0.20541334,0.10306519,400.0,-14.374372,0.4,800.0,0.05
40,0.84284997,0.11676163,0.20564005,0.103633024,410.0,-6.9224877,0.7,820.0,0.25
41,0.8433004,0.1168642,0.20590338,0.103766404,420.0,-7.800546,0.7,840.0,0.1
42,0.84335184,0.11835437,0.20603582,0.10506587,430.0,-8.51412,0.4,860.0,0.0
43,0.8435524,0.11785937,0.20598133,0.10504948,440.0,-11.627057,0.3,880.0,0.05
44,0.8434623,0.117781736,0.20591575,0.10531459,450.0,-7.973417,0.4,900.0,0.15
45,0.8432947,0.11830914,0.20593433,0.106279284,460.0,-11.081163,0.3,920.0,0.0
46,0.84313226,0.1182883,0.20598727,0.10667754,470.0,-11.569145,0.7,940.0,0.15
47,0.84318256,0.118255936,0.20594224,0.107446045,480.0,-11.292238,0.4,960.0,0.0
48,0.8432664,0.11808053,0.20613696,0.10756227,490.0,-10.455512,0.7,980.0,0.0
49,0.84343094,0.119006015,0.20628287,0.10866365,500.0,-10.703575,0.5,1000.0,0.1
50,0.8435815,0.11905631,0.20634462,0.10930009,510.0,-14.059903,0.3,1020.0,0.0
51,0.8436261,0.11875454,0.20636885,0.109655045,520.0,-9.594877,0.5,1040.0,0.1
52,0.84316635,0.11885456,0.20626019,0.10993626,530.0,-12.691826,0.2,1060.0,0.1
53,0.84278053,0.119595535,0.20606805,0.110439755,540.0,-10.220979,0.6,1080.0,0.15
54,0.84267646,0.12056837,0.20624952,0.11052824,550.0,-8.766212,0.6,1100.0,0.05
55,0.84250647,0.12070487,0.2061057,0.110580795,560.0,-11.281479,0.5,1120.0,0.15
56,0.84272695,0.120571345,0.20619725,0.11043641,570.0,-15.127469,0.4,1140.0,0.15
57,0.8428026,0.12074193,0.20613545,0.110413745,580.0,-11.06681,0.7,1160.0,0.05
58,0.8426631,0.12085105,0.2059733,0.110519044,590.0,-12.429335,0.4,1180.0,0.2
59,0.84232277,0.12249994,0.205904,0.111227095,600.0,-9.655851,0.5,1200.0,0.1
60,0.84246546,0.122706436,0.20597595,0.11140322,610.0,-8.847059,0.5,1220.0,0.0
61,0.8425713,0.12259666,0.20599823,0.111875474,620.0,-10.22229,0.5,1240.0,0.1
62,0.8425823,0.12268829,0.20599079,0.11224635,630.0,-12.359209,0.3,1260.0,0.05
63,0.8425755,0.12299979,0.20611592,0.11234022,640.0,-10.171422,0.3,1280.0,0.0
64,0.84283084,0.123644374,0.20614263,0.11260134,650.0,-11.060858,0.3,1300.0,0.05
65,0.84264797,0.12372279,0.20625755,0.112779506,660.0,-12.733248,0.5,1320.0,0.2
66,0.84252065,0.123718284,0.20629176,0.1127823,670.0,-16.262794,0.2,1340.0,0.0
67,0.8424613,0.12370626,0.20641159,0.11295405,680.0,-11.707657,0.5,1360.0,0.0
68,0.84246224,0.124214716,0.20642076,0.113431066,690.0,-11.283098,0.5,1380.0,0.05
69,0.8424347,0.12413248,0.20636983,0.11323581,700.0,-10.711103,0.5,1400.0,0.15
70,0.84230256,0.12383745,0.20638466,0.113207646,710.0,-9.989582,0.7,1420.0,0.1
71,0.8421858,0.123766005,0.20622922,0.11326254,720.0,-14.799913,0.0,1440.0,0.0
72,0.8422678,0.12363478,0.20616743,0.113011114,730.0,-13.908079,0.2,1460.0,0.1
73,0.8422274,0.12344114,0.20613052,0.11278677,740.0,-12.505053,0.2,1480.0,0.0
74,0.8425724,0.12416676,0.20617722,0.113236405,750.0,-11.517698,0.3,1500.0,0.0
75,0.84254235,0.124046914,0.20617661,0.11315696,760.0,-11.566465,0.3,1520.0,0.15
76,0.84259415,0.12384265,0.2060171,0.113139294,770.0,-14.965326,0.5,1540.0,0.05
77,0.8425805,0.1236509,0.20622496,0.11348512,780.0,-13.768791,0.4,1560.0,0.1
78,0.84228826,0.12355658,0.20607813,0.113718435,790.0,-12.518641,0.3,1580.0,0.0
79,0.8420999,0.12390125,0.20605451,0.11386082,800.0,-12.653215,0.4,1600.0,0.0
80,0.8417409,0.12423853,0.20604338,0.114098035,810.0,-10.873583,0.5,1620.0,0.05
81,0.84195393,0.12427557,0.20623411,0.114299014,820.0,-9.252812,0.6,1640.0,0.05
82,0.8420019,0.124626726,0.20617074,0.11446933,830.0,-10.040365,0.7,1660.0,0.05
83,0.84210736,0.12475184,0.20618208,0.11451188,840.0,-11.871603,0.6,1680.0,0.0
84,0.8422866,0.124455266,0.20613472,0.11438128,850.0,-12.706301,0.4,1700.0,0.15
85,0.8421321,0.12452916,0.20616844,0.11451266,860.0,-10.848515,0.5,1720.0,0.15
86,0.8420932,0.12451229,0.20616813,0.114667185,870.0,-13.217575,0.5,1740.0,0.1
87,0.842191,0.12439085,0.20612977,0.11459044,880.0,-11.31507,0.5,1760.0,0.2
88,0.8422539,0.12470641,0.20625651,0.11468096,890.0,-10.833595,0.4,1780.0,0.05
89,0.8421081,0.12629569,0.20629045,0.11496366,900.0,-12.55878,0.5,1800.0,0.05
90,0.84229237,0.12680559,0.20632926,0.1154136,910.0,-6.6022034,0.9,1820.0,0.15
91,0.84223074,0.12675095,0.20641014,0.11556806,920.0,-12.159136,0.3,1840.0,0.1
92,0.8423352,0.12715286,0.20652758,0.115746506,930.0,-10.639291,0.5,1860.0,0.1
93,0.8425805,0.12764318,0.2064935,0.11580852,940.0,-14.138232,0.2,1880.0,0.1
94,0.84267014,0.12770678,0.20644134,0.11612682,950.0,-6.856965,0.7,1900.0,0.1
95,0.84286493,0.12768178,0.20644695,0.11604261,960.0,-12.648121,0.5,1920.0,0.1
96,0.8427388,0.1276417,0.20650755,0.115998484,970.0,-9.354459,0.6,1940.0,0.1
97,0.8425691,0.12754959,0.20646967,0.115896165,980.0,-12.069119,0.6,1960.0,0.1
98,0.8425134,0.12732041,0.20642623,0.115875036,990.0,-16.97903,0.1,1980.0,0.15
99,0.84249204,0.12717469,0.20639956,0.115852505,1000.0,-6.6032257,0.8,2000.0,0.1
100,0.8424143,0.12701766,0.20632118,0.11561037,1010.0,-5.4196978,0.9,2020.0,0.1
101,0.8422773,0.12712856,0.20633294,0.115608074,1020.0,-9.085636,0.9,2040.0,0.1
102,0.8422873,0.12702657,0.20632623,0.115522474,1030.0,-8.637099,0.7,2060.0,0.2
103,0.84234595,0.1268708,0.20634289,0.11534877,1040.0,-11.166373,0.6,2080.0,0.15
104,0.8423443,0.12675786,0.20636258,0.11527274,1050.0,-11.350568,0.5,2100.0,0.05
105,0.8424465,0.1268648,0.20642684,0.115324624,1060.0,-13.429422,0.4,2120.0,0.15
106,0.84249973,0.12673402,0.20638587,0.11522172,1070.0,-9.899131,0.4,2140.0,0.15
107,0.842489,0.12694371,0.20643991,0.11535725,1080.0,-10.214228,0.7,2160.0,0.05
108,0.842401,0.1266795,0.20638044,0.11526935,1090.0,-11.857895,0.4,2180.0,0.05
109,0.8425386,0.12658493,0.20642221,0.11516882,1100.0,-10.710073,0.5,2200.0,0.1
110,0.84248704,0.1262854,0.20642252,0.114860035,1110.0,-9.769705,0.6,2220.0,0.3
111,0.842511,0.12609683,0.20645127,0.114756495,1120.0,-8.006214,0.5,2240.0,0.05
112,0.84246653,0.12597717,0.20648853,0.11469327,1130.0,-7.039818,0.6,2260.0,0.15
113,0.84255385,0.12595926,0.20646292,0.11475024,1140.0,-8.62144,0.5,2280.0,0.15
114,0.8425843,0.12576582,0.20656247,0.114519745,1150.0,-6.983252,0.7,2300.0,0.15
115,0.8426666,0.12585868,0.2065118,0.114623375,1160.0,-6.802971,0.8,2320.0,0.15
116,0.842716,0.12556817,0.20650373,0.11437675,1170.0,-11.775625,0.4,2340.0,0.3
117,0.8425618,0.12569068,0.20648171,0.114226274,1180.0,-7.6988792,0.8,2360.0,0.2
118,0.842611,0.12548704,0.2065591,0.11406582,1190.0,-7.091868,0.9,2380.0,0.15
119,0.84269166,0.12536786,0.20651358,0.11391702,1200.0,-6.3863363,0.8,2400.0,0.4
120,0.84261817,0.12532426,0.20646788,0.11369086,1210.0,-8.019686,0.6,2420.0,0.2
121,0.8424311,0.12550396,0.20639391,0.1136697,1220.0,-12.190179,0.3,2440.0,0.15
122,0.8424552,0.12547438,0.20638138,0.113625415,1230.0,-7.5562987,0.7,2460.0,0.05
123,0.84242487,0.12560406,0.20641357,0.113674685,1240.0,-11.573161,0.3,2480.0,0.15
124,0.8423619,0.12534343,0.20638834,0.1137183,1250.0,-7.0890527,0.6,2500.0,0.15
125,0.8423752,0.12509254,0.20639263,0.11354997,1260.0,-7.7564836,0.6,2520.0,0.25
126,0.8423076,0.12484244,0.20637007,0.11333984,1270.0,-8.618883,0.3,2540.0,0.1
127,0.84223133,0.12460429,0.206342,0.11307137,1280.0,-7.007781,0.7,2560.0,0.3
128,0.84224075,0.124521814,0.20630522,0.11296607,1290.0,-5.841342,0.6,2580.0,0.15
129,0.8421948,0.12437085,0.2062681,0.112752125,1300.0,-12.13278,0.2,2600.0,0.15
130,0.8420382,0.12428918,0.20619065,0.11271721,1310.0,-8.859124,0.6,2620.0,0.1
