# {"t_start": 1580498519.9552777, "env_id": "FetchPickAndPlace-v1"} 
r,l,t
-50.0,50,3.830492
-50.0,50,4.817328
-50.0,50,5.731404
-50.0,50,6.662837
-50.0,50,7.567653
-50.0,50,8.476776
-50.0,50,9.34392
-50.0,50,10.350583
-50.0,50,11.470641
-50.0,50,12.915245
-50.0,50,14.179141
-50.0,50,15.385802
-50.0,50,16.468609
-50.0,50,17.5683
-50.0,50,18.651862
-50.0,50,19.724436
-50.0,50,20.797639
-50.0,50,21.861099
-50.0,50,22.941233
-50.0,50,24.035291
-50.0,50,25.145312
-50.0,50,25.33336
-50.0,50,25.490769
-50.0,50,25.650908
-50.0,50,25.822512
-50.0,50,25.9919
-50.0,50,26.158932
-50.0,50,26.311498
-38.0,50,26.487201
-50.0,50,26.681478
-50.0,50,26.912722
-50.0,50,28.113352
-50.0,50,29.272596
-50.0,50,30.484329
-50.0,50,31.673598
-50.0,50,32.941733
-50.0,50,34.186711
-19.0,50,35.375766
-50.0,50,36.588839
-50.0,50,37.838961
-50.0,50,39.066702
-50.0,50,40.335835
-50.0,50,41.543158
-50.0,50,42.847456
-50.0,50,44.107563
-50.0,50,45.410522
-50.0,50,46.727748
-50.0,50,48.008827
-50.0,50,49.280368
-50.0,50,50.595463
-50.0,50,51.834045
-50.0,50,52.029285
-50.0,50,52.219969
-50.0,50,52.41274
-50.0,50,52.602241
-50.0,50,52.803381
-50.0,50,53.012383
-50.0,50,53.200418
-50.0,50,53.396235
-50.0,50,53.577461
-50.0,50,53.740995
-50.0,50,54.986779
-50.0,50,56.289588
-50.0,50,57.544394
-50.0,50,58.89221
-50.0,50,60.124397
-50.0,50,61.436523
-5.0,50,62.726575
-19.0,50,64.02931
-50.0,50,65.300434
-50.0,50,66.579497
-50.0,50,67.834037
-9.0,50,69.127725
-50.0,50,70.41764
-50.0,50,71.679076
-50.0,50,72.899497
-50.0,50,74.007293
-50.0,50,75.06673
-50.0,50,76.090974
-50.0,50,77.164061
-50.0,50,78.261781
-25.0,50,78.444107
-26.0,50,78.609487
-50.0,50,78.756379
-25.0,50,78.914792
-50.0,50,79.070618
-50.0,50,79.214964
-46.0,50,79.380217
-50.0,50,79.552531
-50.0,50,79.706487
-50.0,50,79.844635
-50.0,50,80.913157
-50.0,50,81.995165
-50.0,50,83.071284
-50.0,50,84.158487
-50.0,50,85.231709
-50.0,50,86.290756
-50.0,50,87.333526
-50.0,50,88.420522
-50.0,50,89.508762
-50.0,50,90.581403
-50.0,50,91.650478
-50.0,50,92.744311
-50.0,50,93.818751
-50.0,50,94.904923
-50.0,50,95.949725
-50.0,50,96.966766
-50.0,50,98.021279
-50.0,50,99.065161
-50.0,50,100.155694
-21.0,50,101.25936
-50.0,50,101.434934
-50.0,50,101.58303
-50.0,50,101.738747
-50.0,50,101.893292
-32.0,50,102.059891
-50.0,50,102.210164
-50.0,50,102.358313
-50.0,50,102.519753
-50.0,50,102.670196
-50.0,50,102.822596
-50.0,50,103.884208
-19.0,50,104.98187
-50.0,50,106.037842
-50.0,50,107.113443
-50.0,50,108.219486
-50.0,50,109.302772
-50.0,50,110.365859
-50.0,50,111.455462
-32.0,50,112.568717
-50.0,50,113.626755
-50.0,50,114.692525
-50.0,50,115.764571
-50.0,50,116.857845
-50.0,50,117.947858
-50.0,50,119.058489
-50.0,50,120.155758
-50.0,50,121.289005
-50.0,50,122.424513
-50.0,50,123.495789
-50.0,50,124.56789
-19.0,50,124.727939
-50.0,50,124.880719
-50.0,50,125.027331
-50.0,50,125.207841
-29.0,50,125.362798
-50.0,50,125.511817
-50.0,50,125.67426
-23.0,50,125.843362
-50.0,50,125.998695
-50.0,50,126.146516
-50.0,50,127.220805
-32.0,50,128.351928
-50.0,50,129.465888
-50.0,50,130.568554
-50.0,50,131.679021
-50.0,50,132.749572
-50.0,50,133.835645
-50.0,50,134.902148
-50.0,50,136.007359
-50.0,50,137.121451
-50.0,50,138.218486
-50.0,50,139.331746
-15.0,50,140.450935
-50.0,50,141.604726
-50.0,50,142.737485
-50.0,50,143.836142
-50.0,50,144.943967
-50.0,50,146.031692
-50.0,50,147.149161
-50.0,50,148.266335
0,50,148.430544
-50.0,50,148.605484
0,50,148.769324
-33.0,50,148.927291
-50.0,50,149.079467
0,50,149.219744
-50.0,50,149.375751
-38.0,50,149.565558
-50.0,50,149.734027
-50.0,50,149.881557
-29.0,50,150.999835
-50.0,50,152.131889
-50.0,50,153.264285
-50.0,50,154.405626
-50.0,50,155.513611
-50.0,50,156.63486
-50.0,50,157.775326
-50.0,50,158.891552
-50.0,50,160.080975
0,50,161.337034
-50.0,50,162.695534
-50.0,50,164.064198
-50.0,50,165.327031
-50.0,50,166.431723
-50.0,50,167.524234
-50.0,50,168.620713
-50.0,50,169.728104
-50.0,50,170.84376
-50.0,50,171.902087
-50.0,50,173.024342
-50.0,50,173.182197
-50.0,50,173.328462
-50.0,50,173.48851
-37.0,50,173.64735
-50.0,50,173.795688
-50.0,50,173.957887
0,50,174.131324
-50.0,50,174.292011
-50.0,50,174.439644
-50.0,50,174.600371
-50.0,50,175.726753
-50.0,50,176.839931
-50.0,50,177.941499
-50.0,50,179.035268
-50.0,50,180.128832
-50.0,50,181.189426
-50.0,50,182.267212
-41.0,50,183.374398
-50.0,50,184.460813
-50.0,50,185.538309
-50.0,50,186.643679
-50.0,50,187.72464
-50.0,50,188.813639
-50.0,50,189.900248
-50.0,50,191.016108
-19.0,50,192.11283
-50.0,50,193.28864
-50.0,50,194.432624
-50.0,50,195.560857
-50.0,50,196.73375
-50.0,50,196.916478
-50.0,50,197.070031
-50.0,50,197.22846
-19.0,50,197.418489
-50.0,50,197.571911
-14.0,50,197.740557
-50.0,50,197.887779
-50.0,50,198.070181
-50.0,50,198.234679
-50.0,50,198.385118
-50.0,50,199.458319
-50.0,50,200.590092
-50.0,50,201.708022
-50.0,50,202.853979
-50.0,50,203.959892
-50.0,50,205.069466
-50.0,50,206.200818
-50.0,50,207.328806
-50.0,50,208.441264
-50.0,50,209.529716
-18.0,50,210.670057
-50.0,50,211.806409
-50.0,50,212.93063
-50.0,50,214.048203
-50.0,50,215.135546
-50.0,50,216.269167
