epoch,p0/stats_g/mean,p0/stats_g/std,p0/stats_o/mean,p0/stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,0.8641493,0.11387346,0.20618938,0.061135102,10.0,-1.6717812,0.0,20.0,0.0
1,0.8618481,0.11164854,0.20583452,0.073834665,20.0,-2.5298007,0.0,40.0,0.05
2,0.86153173,0.11152298,0.20509468,0.07571068,30.0,-2.8303885,0.3,60.0,0.0
3,0.85927993,0.11088314,0.20534307,0.07669693,40.0,-3.5348358,0.2,80.0,0.0
4,0.85763687,0.11023134,0.20391615,0.07846564,50.0,-4.4988403,0.3,100.0,0.05
5,0.85610765,0.111429356,0.2037528,0.078288995,60.0,-3.5897586,0.5,120.0,0.1
6,0.8559994,0.11458161,0.20390865,0.07792116,70.0,-5.925436,0.2,140.0,0.05
7,0.85485774,0.114419036,0.20366673,0.07736803,80.0,-6.0515947,0.2,160.0,0.0
8,0.85477835,0.1134578,0.20349993,0.07763074,90.0,-6.3653564,0.3,180.0,0.0
9,0.8533688,0.11515111,0.20368649,0.08109059,100.0,-6.8341293,0.2,200.0,0.05
10,0.8531864,0.11517382,0.2038406,0.081989616,110.0,-8.998722,0.0,220.0,0.0
11,0.8513965,0.11629685,0.20259076,0.084878065,120.0,-7.644408,0.3,240.0,0.0
12,0.8506896,0.11573437,0.20222872,0.08614809,130.0,-10.194098,0.0,260.0,0.1
13,0.85014826,0.11614407,0.20241438,0.08833113,140.0,-8.592954,0.1,280.0,0.0
14,0.8496439,0.116547436,0.20195356,0.09072199,150.0,-9.017291,0.1,300.0,0.1
15,0.85008883,0.116834484,0.20205416,0.0928964,160.0,-8.634413,0.3,320.0,0.0
16,0.849044,0.11738209,0.2013132,0.09503716,170.0,-6.81384,0.4,340.0,0.1
17,0.8488923,0.11827863,0.20179822,0.09558489,180.0,-8.253855,0.5,360.0,0.05
18,0.84832436,0.12237876,0.20209926,0.09856007,190.0,-12.891948,0.0,380.0,0.05
19,0.84704256,0.124203615,0.20118447,0.101266384,200.0,-6.415429,0.3,400.0,0.0
20,0.8467545,0.12598307,0.20162632,0.10362152,210.0,-5.5927196,0.6,420.0,0.05
21,0.8461526,0.12741894,0.20152596,0.10575401,220.0,-6.74183,0.5,440.0,0.1
22,0.84568405,0.12769006,0.20184924,0.10761732,230.0,-6.833661,0.7,460.0,0.0
23,0.84558815,0.12793516,0.20148303,0.10917249,240.0,-4.623158,0.5,480.0,0.05
24,0.84566027,0.1282837,0.20237608,0.11001375,250.0,-6.6310897,0.6,500.0,0.05
25,0.84491044,0.12922019,0.20195347,0.11072816,260.0,-6.6534758,0.5,520.0,0.05
26,0.8447766,0.12969868,0.20206779,0.1116212,270.0,-11.177958,0.1,540.0,0.2
27,0.84466434,0.12863632,0.20210825,0.11234818,280.0,-8.058657,0.5,560.0,0.15
28,0.8439684,0.12918527,0.20172267,0.11300013,290.0,-8.117668,0.5,580.0,0.1
29,0.8433454,0.13056354,0.20170933,0.1145642,300.0,-7.4951067,0.5,600.0,0.05
30,0.8436222,0.13185798,0.20188367,0.11556588,310.0,-7.305754,0.5,620.0,0.3
31,0.8436404,0.13176578,0.20175207,0.11699677,320.0,-11.239592,0.3,640.0,0.15
32,0.8437206,0.13257247,0.20179048,0.11837877,330.0,-8.517165,0.4,660.0,0.2
33,0.8441259,0.1326192,0.20124765,0.119178094,340.0,-7.1789656,0.5,680.0,0.15
34,0.84404635,0.13373561,0.20114498,0.120969474,350.0,-11.172023,0.3,700.0,0.15
35,0.84371585,0.13378413,0.20071493,0.12242951,360.0,-9.255438,0.5,720.0,0.15
36,0.8437765,0.13468044,0.20084454,0.123213165,370.0,-8.339463,0.5,740.0,0.25
37,0.84390306,0.1345994,0.20083791,0.12371226,380.0,-9.618849,0.2,760.0,0.25
38,0.84394264,0.13569625,0.20103474,0.12437619,390.0,-13.656736,0.3,780.0,0.15
39,0.8438712,0.13660695,0.20112611,0.12564382,400.0,-8.458702,0.4,800.0,0.15
40,0.8439706,0.13705042,0.2016737,0.12598805,410.0,-12.11902,0.4,820.0,0.15
41,0.8443815,0.13710345,0.20166804,0.12680215,420.0,-9.2548,0.6,840.0,0.25
42,0.84409595,0.13653196,0.2016288,0.12659845,430.0,-12.7428055,0.1,860.0,0.35
43,0.8444839,0.13671122,0.20186953,0.12685737,440.0,-8.076881,0.7,880.0,0.2
44,0.8445979,0.13680743,0.2016699,0.12701531,450.0,-6.411419,0.7,900.0,0.15
45,0.84473175,0.13693671,0.20170695,0.12768039,460.0,-9.89581,0.5,920.0,0.25
46,0.8446291,0.13713445,0.20186153,0.12786418,470.0,-5.44081,0.7,940.0,0.35
47,0.8445998,0.13730675,0.20174286,0.12884006,480.0,-8.487879,0.5,960.0,0.2
48,0.8449847,0.13648874,0.20199494,0.12857819,490.0,-5.9927244,0.9,980.0,0.3
49,0.84489995,0.13668756,0.2019753,0.12903331,500.0,-6.342617,0.7,1000.0,0.2
